t_s,P_kW,power_normalized
0.000000000000000000e+00,8.012948252181744238e+02,5.751280720519269529e-01
1.000000000000000000e+00,7.495656891928581445e+02,4.273305405510230970e-01
2.000000000000000000e+00,7.510299048150563976e+02,4.315140137573040824e-01
3.000000000000000000e+00,7.496014552103393953e+02,4.274327291723981626e-01
4.000000000000000000e+00,7.428607624795447464e+02,4.081736070844135256e-01
5.000000000000000000e+00,9.445586098398594004e+02,9.844531709710270251e-01
6.000000000000000000e+00,9.467639146658341360e+02,9.907540419023834755e-01
7.000000000000000000e+00,9.447132430301194290e+02,9.848949800860553605e-01
8.000000000000000000e+00,9.468462144030845593e+02,9.909891840088130843e-01
9.000000000000000000e+00,9.451563858730266929e+02,9.861611024943620629e-01
1.000000000000000000e+01,9.342334081243789115e+02,9.549525946410823973e-01
1.100000000000000000e+01,6.995442992293251336e+02,2.844122835123576443e-01
1.200000000000000000e+01,7.417838627453165827e+02,4.050967507009045621e-01
1.300000000000000000e+01,7.404917123198752051e+02,4.014048923425006521e-01
1.400000000000000000e+01,7.477442556996240910e+02,4.221264448560687055e-01
1.500000000000000000e+01,8.475824077374219314e+02,7.073783078212054765e-01
1.600000000000000000e+01,9.440251629078305768e+02,9.829290368795159383e-01
1.700000000000000000e+01,9.464105283789886016e+02,9.897443667971105308e-01
1.800000000000000000e+01,9.447822184229746654e+02,9.850920526370705588e-01
1.900000000000000000e+01,9.453711861592726109e+02,9.867748175979218495e-01
2.000000000000000000e+01,9.458799233230374739e+02,9.882283523515358326e-01
2.100000000000000000e+01,7.896451799124807849e+02,5.418433711785165530e-01
2.200000000000000000e+01,7.495010861506336823e+02,4.271459604303818880e-01
2.300000000000000000e+01,7.495910470542286248e+02,4.274029915835104720e-01
2.400000000000000000e+01,7.412031010232947210e+02,4.034374314951279517e-01
2.500000000000000000e+01,7.455157374579814586e+02,4.157592498799472236e-01
2.600000000000000000e+01,9.451415652306116044e+02,9.861187578017472921e-01
2.700000000000000000e+01,9.456468770790249891e+02,9.875625059400713335e-01
2.800000000000000000e+01,9.463227570245638844e+02,9.894935914987539327e-01
2.900000000000000000e+01,9.448584959027064087e+02,9.853099882934468479e-01
3.000000000000000000e+01,9.458140839899544972e+02,9.880402399712986394e-01
3.100000000000000000e+01,9.048262119022214165e+02,8.709320340063468890e-01
3.200000000000000000e+01,7.051554522686789142e+02,3.004441493390827000e-01
3.300000000000000000e+01,7.409155913256522581e+02,4.026159752161493355e-01
3.400000000000000000e+01,7.448376501692268903e+02,4.138218576263626991e-01
3.500000000000000000e+01,7.498395907826845814e+02,4.281131165219559387e-01
3.600000000000000000e+01,8.577956004558467384e+02,7.365588584452763543e-01
3.700000000000000000e+01,9.435300476944537422e+02,9.815144219841536177e-01
3.800000000000000000e+01,9.470338315170283749e+02,9.915252329057954173e-01
3.900000000000000000e+01,9.439176994219884591e+02,9.826219983485384724e-01
4.000000000000000000e+01,9.453718377933070087e+02,9.867766794094485761e-01
4.100000000000000000e+01,9.438666909124644917e+02,9.824762597498983840e-01
4.200000000000000000e+01,7.822645748313281047e+02,5.207559280895089904e-01
4.300000000000000000e+01,7.511477083450564578e+02,4.318505952715898100e-01
4.400000000000000000e+01,7.471235296658536527e+02,4.203529419024389924e-01
4.500000000000000000e+01,7.382753502605442009e+02,3.950724293158405787e-01
4.600000000000000000e+01,7.512100074626279138e+02,4.320285927503653700e-01
4.700000000000000000e+01,9.427373293176024163e+02,9.792495123360069886e-01
4.800000000000000000e+01,9.467655122010493187e+02,9.907586062887122624e-01
4.900000000000000000e+01,9.458103068295270077e+02,9.880294480843626603e-01
5.000000000000000000e+01,9.426295418524318848e+02,9.789415481498052740e-01
5.100000000000000000e+01,9.462262971853667750e+02,9.892179919581909342e-01
5.200000000000000000e+01,9.124633697588410541e+02,8.927524850252601674e-01
5.300000000000000000e+01,7.042336597369306901e+02,2.978104563912305491e-01
5.400000000000000000e+01,7.426112615917205630e+02,4.074607474049160016e-01
5.500000000000000000e+01,7.478249806848873504e+02,4.223570876711065236e-01
5.600000000000000000e+01,7.480993173243923593e+02,4.231409066411211950e-01
5.700000000000000000e+01,8.591393291893114110e+02,7.403980833980328136e-01
5.800000000000000000e+01,9.428680251773214422e+02,9.796229290780610333e-01
5.900000000000000000e+01,9.455039593820821437e+02,9.871541696630917739e-01
6.000000000000000000e+01,9.458445137041560429e+02,9.881271820118745497e-01
6.100000000000000000e+01,9.439059233490148699e+02,9.825883524257567059e-01
6.200000000000000000e+01,9.464157544782608511e+02,9.897592985093168760e-01
6.300000000000000000e+01,6.974768757551807994e+02,2.785053593005163974e-01
6.400000000000000000e+01,7.506489549082608619e+02,4.304255854521737978e-01
6.500000000000000000e+01,7.412535476109716228e+02,4.035815646027759995e-01
6.600000000000000000e+01,7.408515164647014899e+02,4.024329041848612731e-01
6.700000000000000000e+01,7.403328640708218700e+02,4.009510402023483411e-01
6.800000000000000000e+01,9.266069648151722049e+02,9.331627566147775443e-01
6.900000000000000000e+01,9.434675853529138294e+02,9.813359581511824636e-01
7.000000000000000000e+01,9.444062344568202434e+02,9.840178127337722014e-01
7.100000000000000000e+01,9.455567799838677274e+02,9.873050856681935272e-01
7.200000000000000000e+01,9.446318829078566068e+02,9.846625225938762105e-01
7.300000000000000000e+01,9.382621418740091030e+02,9.664632624971690733e-01
7.400000000000000000e+01,7.107826898659657218e+02,3.165219710456164126e-01
7.500000000000000000e+01,7.463848617432183801e+02,4.182424621234812068e-01
7.600000000000000000e+01,7.502755841658726013e+02,4.293588119024930871e-01
7.700000000000000000e+01,7.478145182851872050e+02,4.223271951005350133e-01
7.800000000000000000e+01,8.288077061676526682e+02,6.537363033361505149e-01
7.900000000000000000e+01,9.449406606426273356e+02,9.855447446932207312e-01
8.000000000000000000e+01,9.446693644373037841e+02,9.847696126780108861e-01
8.100000000000000000e+01,9.465057240600193609e+02,9.900163544571981555e-01
8.200000000000000000e+01,9.457814789153895845e+02,9.879470826153987639e-01
8.300000000000000000e+01,9.449662336691710607e+02,9.856178104833457354e-01
8.400000000000000000e+01,8.027616203948307430e+02,5.793189154138020935e-01
8.500000000000000000e+01,7.455755282523361984e+02,4.159300807209605488e-01
8.600000000000000000e+01,7.416189399428652678e+02,4.046255426939007194e-01
8.700000000000000000e+01,7.393436072112954207e+02,3.981245920322724619e-01
8.800000000000000000e+01,7.470028320655044354e+02,4.200080916157268862e-01
8.900000000000000000e+01,9.341146989146998294e+02,9.546134254705711530e-01
9.000000000000000000e+01,9.442733284691030349e+02,9.836380813402945122e-01
9.100000000000000000e+01,9.455561559324626160e+02,9.873033026641790944e-01
9.200000000000000000e+01,9.456652688534620665e+02,9.876150538670344092e-01
9.300000000000000000e+01,9.407072320864344874e+02,9.734492345326697382e-01
9.400000000000000000e+01,9.408651831926395062e+02,9.739005234075414075e-01
9.500000000000000000e+01,7.101587877539460578e+02,3.147393935827031419e-01
9.600000000000000000e+01,7.488868891305407942e+02,4.253911118015449855e-01
9.700000000000000000e+01,7.500319632198329600e+02,4.286627520566655969e-01
9.800000000000000000e+01,7.469669437750533234e+02,4.199055536430093549e-01
9.900000000000000000e+01,8.324216284898765252e+02,6.640617956853613890e-01
1.000000000000000000e+02,9.417450457095887941e+02,9.764144163131109888e-01
1.010000000000000000e+02,9.440607708289501261e+02,9.830307737970004345e-01
1.020000000000000000e+02,9.459021896253556179e+02,9.882919703581588555e-01
1.030000000000000000e+02,9.447464346674677245e+02,9.849898133356220775e-01
1.040000000000000000e+02,9.429716443628292382e+02,9.799189838937976127e-01
1.050000000000000000e+02,7.944396680348359041e+02,5.555419086709597609e-01
1.060000000000000000e+02,7.390949720908412246e+02,3.974142059738321464e-01
1.070000000000000000e+02,7.421952472227081898e+02,4.062721349220233535e-01
1.080000000000000000e+02,7.408250165595009094e+02,4.023571901700026543e-01
1.090000000000000000e+02,7.477510630776625931e+02,4.221458945076074776e-01
1.100000000000000000e+02,9.366368802892052372e+02,9.618196579691575820e-01
1.110000000000000000e+02,9.454133158889570723e+02,9.868951882541631138e-01
1.120000000000000000e+02,9.436291256181323206e+02,9.817975017660923731e-01
1.130000000000000000e+02,9.461952843642472999e+02,9.891293838978494346e-01
1.140000000000000000e+02,9.444327280214237135e+02,9.840935086326391135e-01
1.150000000000000000e+02,9.442154631459804932e+02,9.834727518456586326e-01
1.160000000000000000e+02,7.028541352663407906e+02,2.938689579038307742e-01
1.170000000000000000e+02,7.471639428216085435e+02,4.204684080617386854e-01
1.180000000000000000e+02,7.494096573694578183e+02,4.268847353413081080e-01
1.190000000000000000e+02,7.415115265919826015e+02,4.043186474056647550e-01
1.200000000000000000e+02,8.327858702668333990e+02,6.651024864766668099e-01
1.210000000000000000e+02,9.446578161638205984e+02,9.847366176109157987e-01
