t_s,P_kW,power_normalized
0.000000000000000000e+00,6.000000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,6.000014685906991190e+02,4.195973426168637581e-06
2.000000000000000000e+00,6.000036872991328210e+02,1.053514037940630919e-05
3.000000000000000000e+00,6.000018811234015175e+02,5.374638290197542431e-06
4.000000000000000000e+00,6.000030502779222843e+02,8.715079778081290512e-06
5.000000000000000000e+00,6.000069156266318942e+02,1.975893323391075904e-05
6.000000000000000000e+00,6.000055395573291435e+02,1.582730665454427612e-05
7.000000000000000000e+00,6.000050016943820310e+02,1.429055537717903676e-05
8.000000000000000000e+00,6.000086050834866001e+02,2.458595281881208639e-05
9.000000000000000000e+00,6.000003873108272501e+02,1.106602363554702096e-06
1.000000000000000000e+01,6.000067224108469190e+02,1.920688813391093980e-05
1.100000000000000000e+01,6.000086235094639733e+02,2.463859846849372941e-05
1.200000000000000000e+01,6.000061767239466235e+02,1.764778270467890430e-05
1.300000000000000000e+01,6.000045896426011041e+02,1.311326457445184794e-05
1.400000000000000000e+01,6.000114198688287388e+02,3.262819665361391174e-05
1.500000000000000000e+01,6.000134052959580231e+02,3.830084559439555266e-05
1.600000000000000000e+01,6.000121535105241719e+02,3.472431578343302772e-05
1.700000000000000000e+01,6.000150018343665579e+02,4.286238390446382577e-05
1.800000000000000000e+01,6.000122107998458887e+02,3.488799955968344986e-05
1.900000000000000000e+01,6.000162320860063119e+02,4.637738858961251411e-05
2.000000000000000000e+01,6.000147278994726321e+02,4.207971277904656176e-05
2.100000000000000000e+01,6.000173556913583752e+02,4.958768959538233464e-05
2.200000000000000000e+01,6.000176796910047869e+02,5.051340287085645569e-05
2.300000000000000000e+01,6.000159646239021640e+02,4.561321114888601931e-05
2.400000000000000000e+01,6.000162704460062741e+02,4.648698858920550776e-05
2.500000000000000000e+01,6.000205950501937195e+02,5.884300055349839454e-05
2.600000000000000000e+01,6.000240008489322463e+02,6.857385409220067304e-05
2.700000000000000000e+01,6.000223798082560052e+02,6.394230930289116616e-05
2.800000000000000000e+01,6.000248029298851407e+02,7.086551395748206248e-05
2.900000000000000000e+01,6.000242004890056933e+02,6.914425430190723732e-05
3.000000000000000000e+01,6.000254110757235821e+02,7.260307349582677066e-05
3.100000000000000000e+01,6.000264804309010742e+02,7.565837400292896818e-05
3.200000000000000000e+01,6.000209806218297217e+02,5.994463379911953139e-05
3.300000000000000000e+01,6.000239842205917284e+02,6.852634454778659689e-05
3.400000000000000000e+01,6.000292960896269960e+02,8.370311322010434772e-05
3.500000000000000000e+01,6.000229525193062727e+02,6.557862658949537862e-05
3.600000000000000000e+01,6.000270076216454527e+02,7.716463327263674450e-05
3.700000000000000000e+01,6.000238511735022939e+02,6.814621000640048813e-05
3.800000000000000000e+01,6.000264723798195519e+02,7.563537091295535536e-05
3.900000000000000000e+01,6.000259993908251772e+02,7.428397378630359374e-05
4.000000000000000000e+01,6.000246301789575227e+02,7.037193987869161979e-05
4.100000000000000000e+01,6.000304236152738895e+02,8.692461506819794859e-05
4.200000000000000000e+01,6.000370563697520083e+02,1.058753421486071067e-04
4.300000000000000000e+01,6.000302139912209896e+02,8.632568920268351455e-05
4.400000000000000000e+01,6.000310357723170682e+02,8.867363519177467633e-05
4.500000000000000000e+01,6.000359176105179131e+02,1.026217443370014778e-04
4.600000000000000000e+01,6.000309126884005764e+02,8.832196685869694267e-05
4.700000000000000000e+01,6.000332838320936162e+02,9.509666312466642357e-05
4.800000000000000000e+01,6.000371673341315955e+02,1.061923832330100259e-04
4.900000000000000000e+01,6.000320232443431223e+02,9.149498383751924005e-05
5.000000000000000000e+01,6.000349668077628849e+02,9.990516503669107302e-05
5.100000000000000000e+01,6.000390450506865818e+02,1.115572876760084786e-04
5.200000000000000000e+01,6.000329004149482444e+02,9.400118556631880458e-05
5.300000000000000000e+01,6.000401513811033283e+02,1.147182317239219196e-04
5.400000000000000000e+01,6.000401640889709824e+02,1.147545399171586903e-04
5.500000000000000000e+01,6.000402341510534825e+02,1.149547172957928690e-04
5.600000000000000000e+01,6.000392194042441361e+02,1.120554406973735425e-04
5.700000000000000000e+01,6.000468819326008543e+02,1.339483788596361534e-04
5.800000000000000000e+01,6.000416175950952038e+02,1.189074145576903999e-04
5.900000000000000000e+01,6.000424174456559285e+02,1.211927018739572705e-04
6.000000000000000000e+01,6.000431839165702286e+02,1.233826187721458591e-04
6.100000000000000000e+01,6.000441811107315289e+02,1.262317449472317543e-04
6.200000000000000000e+01,6.000604327111838074e+02,1.726648890966463483e-04
6.300000000000000000e+01,6.000615039189568733e+02,1.757254827340827444e-04
6.400000000000000000e+01,6.000605780312616844e+02,1.730800893189882303e-04
6.500000000000000000e+01,6.001074499451965494e+02,3.069998434186657112e-04
6.600000000000000000e+01,6.002718976762348575e+02,7.768505035282601478e-04
6.700000000000000000e+01,6.003344999177343198e+02,9.557140506695323496e-04
6.800000000000000000e+01,6.001744801899012600e+02,4.985148282891910644e-04
6.900000000000000000e+01,6.000719315955120692e+02,2.055188443201012133e-04
7.000000000000000000e+01,6.000705327536036293e+02,2.015221531531558063e-04
7.100000000000000000e+01,6.000688402552103753e+02,1.966864434580957997e-04
7.200000000000000000e+01,6.000674072404356139e+02,1.925921155304005693e-04
7.300000000000000000e+01,6.000720503044777843e+02,2.058580127936326964e-04
7.400000000000000000e+01,6.000728897423299486e+02,2.082564066568347587e-04
7.500000000000000000e+01,6.009390195107386035e+02,2.682912887824572077e-03
7.600000000000000000e+01,6.193302107321203493e+02,5.522917352034396182e-02
7.700000000000000000e+01,6.201033128771872498e+02,5.743803679196368001e-02
7.800000000000000000e+01,6.243252190787383142e+02,6.950062593925247778e-02
7.900000000000000000e+01,6.267825356421340075e+02,7.652153040609731283e-02
8.000000000000000000e+01,6.268443210536502193e+02,7.669806015328646531e-02
8.100000000000000000e+01,6.268484609454621932e+02,7.670988841560637261e-02
8.200000000000000000e+01,6.268517010471898629e+02,7.671914584911379564e-02
8.300000000000000000e+01,6.268556334399257821e+02,7.673038125693092126e-02
8.400000000000000000e+01,6.268665920805535734e+02,7.676169165872459565e-02
8.500000000000000000e+01,6.268680743425577475e+02,7.676592669302209626e-02
8.600000000000000000e+01,6.275876902716827317e+02,7.882197220480774424e-02
8.700000000000000000e+01,6.274568681275314930e+02,7.844819465009002235e-02
8.800000000000000000e+01,6.268711071434677251e+02,7.677459183847916424e-02
8.900000000000000000e+01,6.385649751898557724e+02,1.101856433995877793e-01
9.000000000000000000e+01,6.419821264967142724e+02,1.199489328477550548e-01
9.100000000000000000e+01,6.420019577582486363e+02,1.200055935949961572e-01
9.200000000000000000e+01,6.420286687424945740e+02,1.200819106928416730e-01
9.300000000000000000e+01,6.365778259377879067e+02,1.045080741079653652e-01
9.400000000000000000e+01,6.295767667884522325e+02,8.450504796700628041e-02
9.500000000000000000e+01,6.313189173236914939e+02,8.948262092483298680e-02
9.600000000000000000e+01,6.316357831078406662e+02,9.038795173668758010e-02
9.700000000000000000e+01,6.303533054213804689e+02,8.672372977537268213e-02
9.800000000000000000e+01,6.313622580235639816e+02,8.960645149589695213e-02
9.900000000000000000e+01,6.314538782947203117e+02,8.986822369920077769e-02
1.000000000000000000e+02,6.316342496376393001e+02,9.038357039325521647e-02
1.010000000000000000e+02,6.296082577128657931e+02,8.459502203675950405e-02
1.020000000000000000e+02,6.300973703892123012e+02,8.599248682632100460e-02
1.030000000000000000e+02,6.319058795937013429e+02,9.115965598200370668e-02
1.040000000000000000e+02,6.304949805679510746e+02,8.712851590843179173e-02
1.050000000000000000e+02,6.308091832719658214e+02,8.802623791990225877e-02
1.060000000000000000e+02,6.310871415613867157e+02,8.882040446110478493e-02
1.070000000000000000e+02,6.308407708193196868e+02,8.811648805519899097e-02
1.080000000000000000e+02,6.308031500356524930e+02,8.800900010186427092e-02
1.090000000000000000e+02,6.316938196311348293e+02,9.055377037467085555e-02
1.100000000000000000e+02,6.308389684796870824e+02,8.811133851339156275e-02
1.110000000000000000e+02,6.315458068355260366e+02,9.013087667293154248e-02
1.120000000000000000e+02,6.315300105909628883e+02,9.008574454560813738e-02
1.130000000000000000e+02,6.309910547214180951e+02,8.854587063262306379e-02
1.140000000000000000e+02,6.306657228359237024e+02,8.761635095978191623e-02
1.150000000000000000e+02,6.314089352886024926e+02,8.973981511029270608e-02
1.160000000000000000e+02,6.316934084697418257e+02,9.055259562783382621e-02
1.170000000000000000e+02,6.310272267646276987e+02,8.864921932750778610e-02
1.180000000000000000e+02,6.316947465863223670e+02,9.055641881806404669e-02
1.190000000000000000e+02,6.315677493463180099e+02,9.019356956090870958e-02
1.200000000000000000e+02,6.308370932719799384e+02,8.810598077708538256e-02
1.210000000000000000e+02,6.320189758020615045e+02,9.148278800589015880e-02
1.220000000000000000e+02,6.311732548027947587e+02,8.906644229369936605e-02
1.230000000000000000e+02,6.310369524623035886e+02,8.867700703515303540e-02
1.240000000000000000e+02,6.315844448485742078e+02,9.024127099592642309e-02
1.250000000000000000e+02,6.310365295302034383e+02,8.867579865772422243e-02
1.260000000000000000e+02,6.314682384136500559e+02,8.990925261042864713e-02
1.270000000000000000e+02,6.319840490537817459e+02,9.138299729651920555e-02
1.280000000000000000e+02,6.311553446586804057e+02,8.901527045337255528e-02
1.290000000000000000e+02,6.307238489746877121e+02,8.778242564196474251e-02
1.300000000000000000e+02,6.320495395301931012e+02,9.157011294340890173e-02
1.310000000000000000e+02,6.313609729096866658e+02,8.960277974196190209e-02
1.320000000000000000e+02,6.306751837794994344e+02,8.764338222714121440e-02
1.330000000000000000e+02,6.315182757808350971e+02,9.005221651667161264e-02
1.340000000000000000e+02,6.318065992815312484e+02,9.087599794723202895e-02
1.350000000000000000e+02,6.309354513921922489e+02,8.838700397769215511e-02
1.360000000000000000e+02,6.313780515455365503e+02,8.965157584439002736e-02
