t_s,P_kW,power_normalized
0.000000000000000000e+00,6.896404158749330691e+02,2.561154739283802995e-01
1.000000000000000000e+00,6.930773568820548007e+02,2.659353053772995912e-01
2.000000000000000000e+00,6.965142978891761913e+02,2.757551368262175506e-01
3.000000000000000000e+00,6.999512388962979230e+02,2.855749682751368423e-01
4.000000000000000000e+00,7.033881799034196547e+02,2.953947997240561341e-01
5.000000000000000000e+00,7.068251209105409316e+02,3.052146311729741490e-01
6.000000000000000000e+00,7.102620619176626633e+02,3.150344626218934407e-01
7.000000000000000000e+00,7.136990029247845087e+02,3.248542940708127325e-01
8.000000000000000000e+00,7.171359439319057856e+02,3.346741255197307474e-01
9.000000000000000000e+00,7.205728849390275172e+02,3.444939569686500391e-01
1.000000000000000000e+01,7.240098259461487942e+02,3.543137884175680541e-01
1.100000000000000000e+01,7.274467669532705258e+02,3.641336198664873458e-01
1.200000000000000000e+01,7.308837079603922575e+02,3.739534513154066375e-01
1.300000000000000000e+01,7.343206489675136481e+02,3.837732827643246525e-01
1.400000000000000000e+01,7.377575899746353798e+02,3.935931142132439442e-01
1.500000000000000000e+01,7.411945309817571115e+02,4.034129456621632359e-01
1.600000000000000000e+01,7.446314719888785021e+02,4.132327771110812509e-01
1.700000000000000000e+01,7.480684129960002338e+02,4.230526085600005426e-01
1.800000000000000000e+01,7.515053540031219654e+02,4.328724400089198343e-01
1.900000000000000000e+01,7.549422950102432424e+02,4.426922714578378493e-01
2.000000000000000000e+01,7.583792360173649740e+02,4.525121029067571410e-01
2.100000000000000000e+01,7.618161770244867057e+02,4.623319343556764327e-01
2.200000000000000000e+01,7.652531180316080963e+02,4.721517658045944477e-01
2.300000000000000000e+01,7.686900590387298280e+02,4.819715972535137394e-01
2.400000000000000000e+01,7.721270000458515597e+02,4.917914287024330311e-01
2.500000000000000000e+01,7.755639410529728366e+02,5.016112601513510461e-01
2.600000000000000000e+01,7.790008820600946819e+02,5.114310916002703378e-01
2.700000000000000000e+01,7.824378230672164136e+02,5.212509230491896295e-01
2.800000000000000000e+01,7.858747640743376905e+02,5.310707544981075889e-01
2.900000000000000000e+01,7.893117050814594222e+02,5.408905859470268807e-01
3.000000000000000000e+01,7.927486460885811539e+02,5.507104173959461724e-01
3.100000000000000000e+01,7.961855870957024308e+02,5.605302488448642428e-01
