t_s,P_kW,power_normalized
0.000000000000000000e+00,9.002690064712928688e+02,8.579114470608365517e-01
1.000000000000000000e+00,8.968074277336236264e+02,8.480212220960673397e-01
2.000000000000000000e+00,8.933458489959548388e+02,8.381309971312994600e-01
3.000000000000000000e+00,8.898842702582855964e+02,8.282407721665302480e-01
4.000000000000000000e+00,8.864226915206163540e+02,8.183505472017611471e-01
5.000000000000000000e+00,8.829611127829471116e+02,8.084603222369919351e-01
6.000000000000000000e+00,8.794995340452784376e+02,7.985700972722240554e-01
7.000000000000000000e+00,8.760379553076091952e+02,7.886798723074548434e-01
8.000000000000000000e+00,8.725763765699400665e+02,7.787896473426857424e-01
9.000000000000000000e+00,8.691147978322708241e+02,7.688994223779165305e-01
1.000000000000000000e+01,8.656532190946020364e+02,7.590091974131486507e-01
1.100000000000000000e+01,8.621916403569327940e+02,7.491189724483794388e-01
1.200000000000000000e+01,8.587300616192635516e+02,7.392287474836102268e-01
1.300000000000000000e+01,8.552684828815944229e+02,7.293385225188411258e-01
1.400000000000000000e+01,8.518069041439256353e+02,7.194482975540732461e-01
1.500000000000000000e+01,8.483453254062563929e+02,7.095580725893040341e-01
1.600000000000000000e+01,8.448837466685871505e+02,6.996678476245348222e-01
1.700000000000000000e+01,8.414221679309184765e+02,6.897776226597669424e-01
1.800000000000000000e+01,8.379605891932492341e+02,6.798873976949978415e-01
1.900000000000000000e+01,8.344990104555799917e+02,6.699971727302286295e-01
2.000000000000000000e+01,8.310374317179107493e+02,6.601069477654594175e-01
2.100000000000000000e+01,8.275758529802420753e+02,6.502167228006915378e-01
2.200000000000000000e+01,8.241142742425728329e+02,6.403264978359224369e-01
2.300000000000000000e+01,8.206526955049035905e+02,6.304362728711532249e-01
2.400000000000000000e+01,8.171911167672344618e+02,6.205460479063840129e-01
2.500000000000000000e+01,8.137295380295656742e+02,6.106558229416161332e-01
2.600000000000000000e+01,8.102679592918964318e+02,6.007655979768470322e-01
2.700000000000000000e+01,8.068063805542271894e+02,5.908753730120778203e-01
2.800000000000000000e+01,8.033448018165579469e+02,5.809851480473086083e-01
2.900000000000000000e+01,7.998832230788892730e+02,5.710949230825407286e-01
3.000000000000000000e+01,7.964216443412200306e+02,5.612046981177716276e-01
3.100000000000000000e+01,7.929600656035509019e+02,5.513144731530024156e-01
3.200000000000000000e+01,7.894984868658821142e+02,5.414242481882345359e-01
3.300000000000000000e+01,7.860369081282128718e+02,5.315340232234653239e-01
3.400000000000000000e+01,7.825753293905436294e+02,5.216437982586961120e-01
3.500000000000000000e+01,7.791137506528743870e+02,5.117535732939270110e-01
3.600000000000000000e+01,7.756521719152057130e+02,5.018633483291591313e-01
3.700000000000000000e+01,7.721905931775364706e+02,4.919731233643899193e-01
3.800000000000000000e+01,7.687290144398672282e+02,4.820828983996207628e-01
3.900000000000000000e+01,7.652674357021980995e+02,4.721926734348516064e-01
