t_s,P_kW,power_normalized
0.000000000000000000e+00,8.475514272841201091e+02,7.072897922403431625e-01
1.000000000000000000e+00,8.492374445105449468e+02,7.121069843158425172e-01
2.000000000000000000e+00,8.509234617369693296e+02,7.169241763913408727e-01
3.000000000000000000e+00,8.526094789633940536e+02,7.217413684668402274e-01
4.000000000000000000e+00,8.542954961898185502e+02,7.265585605423386939e-01
5.000000000000000000e+00,8.559815134162432742e+02,7.313757526178379376e-01
6.000000000000000000e+00,8.576675306426677707e+02,7.361929446933364041e-01
7.000000000000000000e+00,8.593535478690924947e+02,7.410101367688357588e-01
8.000000000000000000e+00,8.610395650955172187e+02,7.458273288443350024e-01
9.000000000000000000e+00,8.627255823219417152e+02,7.506445209198334689e-01
1.000000000000000000e+01,8.644115995483664392e+02,7.554617129953327126e-01
1.100000000000000000e+01,8.660976167747909358e+02,7.602789050708311791e-01
1.200000000000000000e+01,8.677836340012156597e+02,7.650960971463305338e-01
1.300000000000000000e+01,8.694696512276404974e+02,7.699132892218297775e-01
1.400000000000000000e+01,8.711556684540648803e+02,7.747304812973282440e-01
1.500000000000000000e+01,8.728416856804897179e+02,7.795476733728275986e-01
1.600000000000000000e+01,8.745277029069141008e+02,7.843648654483260652e-01
1.700000000000000000e+01,8.762137201333389385e+02,7.891820575238253088e-01
1.800000000000000000e+01,8.778997373597635487e+02,7.939992495993246635e-01
1.900000000000000000e+01,8.795857545861880453e+02,7.988164416748230190e-01
2.000000000000000000e+01,8.812717718126127693e+02,8.036336337503223737e-01
2.100000000000000000e+01,8.829577890390372659e+02,8.084508258258208402e-01
2.200000000000000000e+01,8.846438062654619898e+02,8.132680179013200839e-01
2.300000000000000000e+01,8.863298234918864864e+02,8.180852099768185504e-01
2.400000000000000000e+01,8.880158407183112104e+02,8.229024020523179050e-01
2.500000000000000000e+01,8.897018579447360480e+02,8.277195941278171487e-01
2.600000000000000000e+01,8.913878751711604309e+02,8.325367862033156152e-01
2.700000000000000000e+01,8.930738923975852686e+02,8.373539782788149699e-01
2.800000000000000000e+01,8.947599096240096515e+02,8.421711703543133254e-01
2.900000000000000000e+01,8.964459268504344891e+02,8.469883624298126801e-01
3.000000000000000000e+01,8.981319440768588720e+02,8.518055545053111466e-01
3.100000000000000000e+01,8.998179613032837096e+02,8.566227465808103902e-01
3.200000000000000000e+01,9.015039785297084336e+02,8.614399386563097449e-01
3.300000000000000000e+01,9.031899957561329302e+02,8.662571307318082114e-01
3.400000000000000000e+01,9.048760129825575405e+02,8.710743228073074551e-01
3.500000000000000000e+01,9.065620302089821507e+02,8.758915148828059216e-01
3.600000000000000000e+01,9.082480474354068747e+02,8.807087069583052763e-01
3.700000000000000000e+01,9.099340646618315986e+02,8.855258990338045200e-01
3.800000000000000000e+01,9.116200818882559815e+02,8.903430911093029865e-01
3.900000000000000000e+01,9.133060991146808192e+02,8.951602831848022301e-01
4.000000000000000000e+01,9.149921163411052021e+02,8.999774752603006966e-01
4.100000000000000000e+01,9.166781335675300397e+02,9.047946673358000513e-01
4.200000000000000000e+01,9.183641507939547637e+02,9.096118594112992950e-01
4.300000000000000000e+01,9.200501680203792603e+02,9.144290514867977615e-01
4.400000000000000000e+01,9.217361852468039842e+02,9.192462435622971162e-01
4.500000000000000000e+01,9.234222024732284808e+02,9.240634356377954717e-01
4.600000000000000000e+01,9.251082196996532048e+02,9.288806277132948264e-01
4.700000000000000000e+01,9.267942369260777014e+02,9.336978197887932929e-01
4.800000000000000000e+01,9.284802541525023116e+02,9.385150118642925365e-01
4.900000000000000000e+01,9.301662713789271493e+02,9.433322039397918912e-01
5.000000000000000000e+01,9.318522886053516459e+02,9.481493960152903577e-01
5.100000000000000000e+01,9.335383058317763698e+02,9.529665880907896014e-01
5.200000000000000000e+01,9.352243230582007527e+02,9.577837801662880679e-01
5.300000000000000000e+01,9.369103402846255904e+02,9.626009722417874226e-01
5.400000000000000000e+01,9.385963575110499733e+02,9.674181643172857781e-01
5.500000000000000000e+01,9.402823747374748109e+02,9.722353563927851328e-01
5.600000000000000000e+01,9.419683919638996485e+02,9.770525484682844874e-01
5.700000000000000000e+01,9.436544091903240314e+02,9.818697405437828429e-01
5.800000000000000000e+01,9.453404264167487554e+02,9.866869326192821976e-01
5.900000000000000000e+01,9.470264436431732520e+02,9.915041246947806641e-01
6.000000000000000000e+01,9.487124608695979759e+02,9.963213167702799078e-01
6.100000000000000000e+01,9.487339198551046593e+02,9.963826281574419408e-01
6.200000000000000000e+01,9.487553788406114563e+02,9.964439395446039738e-01
6.300000000000000000e+01,9.487768378261180260e+02,9.965052509317658957e-01
6.400000000000000000e+01,9.487982968116248230e+02,9.965665623189279287e-01
6.500000000000000000e+01,9.488197557971315064e+02,9.966278737060899617e-01
6.600000000000000000e+01,9.488412147826381897e+02,9.966891850932518837e-01
6.700000000000000000e+01,9.488626737681448731e+02,9.967504964804139167e-01
6.800000000000000000e+01,9.488841327536515564e+02,9.968118078675759497e-01
6.900000000000000000e+01,9.489055917391583534e+02,9.968731192547379827e-01
7.000000000000000000e+01,9.489270507246649231e+02,9.969344306418999047e-01
7.100000000000000000e+01,9.489485097101717201e+02,9.969957420290619377e-01
7.200000000000000000e+01,9.489699686956784035e+02,9.970570534162239706e-01
7.300000000000000000e+01,9.489914276811850868e+02,9.971183648033858926e-01
7.400000000000000000e+01,9.490128866666917702e+02,9.971796761905479256e-01
7.500000000000000000e+01,9.490343456521984535e+02,9.972409875777099586e-01
7.600000000000000000e+01,9.490558046377052506e+02,9.973022989648719916e-01
7.700000000000000000e+01,9.490772636232118202e+02,9.973636103520339136e-01
7.800000000000000000e+01,9.490987226087186173e+02,9.974249217391959466e-01
7.900000000000000000e+01,9.491201815942253006e+02,9.974862331263579796e-01
8.000000000000000000e+01,9.491416405797319840e+02,9.975475445135199015e-01
8.100000000000000000e+01,9.491630995652386673e+02,9.976088559006819345e-01
8.200000000000000000e+01,9.491845585507453507e+02,9.976701672878439675e-01
