t_s,P_kW,power_normalized
0.000000000000000000e+00,7.888063288277228366e+02,5.394466537934936579e-01
1.000000000000000000e+00,7.862122260971675587e+02,5.320349317061929817e-01
2.000000000000000000e+00,7.836181233666118260e+02,5.246232096188910843e-01
3.000000000000000000e+00,7.810240206360566617e+02,5.172114875315904081e-01
4.000000000000000000e+00,7.784299179055014974e+02,5.097997654442898430e-01
5.000000000000000000e+00,7.758358151749457647e+02,5.023880433569878345e-01
6.000000000000000000e+00,7.732417124443904868e+02,4.949763212696872694e-01
7.000000000000000000e+00,7.706476097138348678e+02,4.875645991823853165e-01
8.000000000000000000e+00,7.680535069832797035e+02,4.801528770950846958e-01
9.000000000000000000e+00,7.654594042527244255e+02,4.727411550077840752e-01
1.000000000000000000e+01,7.628653015221686928e+02,4.653294329204821222e-01
1.100000000000000000e+01,7.602711987916135286e+02,4.579177108331815016e-01
1.200000000000000000e+01,7.576770960610583643e+02,4.505059887458809365e-01
1.300000000000000000e+01,7.550829933305026316e+02,4.430942666585789280e-01
1.400000000000000000e+01,7.524888905999474673e+02,4.356825445712783629e-01
1.500000000000000000e+01,7.498947878693917346e+02,4.282708224839763544e-01
1.600000000000000000e+01,7.473006851388365703e+02,4.208591003966757893e-01
1.700000000000000000e+01,7.447065824082812924e+02,4.134473783093751686e-01
1.800000000000000000e+01,7.421124796777255597e+02,4.060356562220732157e-01
1.900000000000000000e+01,7.395183769471703954e+02,3.986239341347725951e-01
2.000000000000000000e+01,7.369242742166152311e+02,3.912122120474719744e-01
2.100000000000000000e+01,7.343301714860594984e+02,3.838004899601700215e-01
2.200000000000000000e+01,7.317360687555042205e+02,3.763887678728694008e-01
2.300000000000000000e+01,7.291419660249490562e+02,3.689770457855688357e-01
2.400000000000000000e+01,7.265478632943934372e+02,3.615653236982668273e-01
2.500000000000000000e+01,7.239537605638381592e+02,3.541536016109662621e-01
2.600000000000000000e+01,7.213596578332824265e+02,3.467418795236642537e-01
2.700000000000000000e+01,7.187655551027272622e+02,3.393301574363636886e-01
2.800000000000000000e+01,7.161714523721720980e+02,3.319184353490630679e-01
2.900000000000000000e+01,7.135773496416163653e+02,3.245067132617611150e-01
3.000000000000000000e+01,7.109832469110612010e+02,3.170949911744604943e-01
3.100000000000000000e+01,7.083891441805059230e+02,3.096832690871598737e-01
3.200000000000000000e+01,7.057950414499503040e+02,3.022715469998579207e-01
3.300000000000000000e+01,7.032009387193950261e+02,2.948598249125573001e-01
3.400000000000000000e+01,7.006068359888398618e+02,2.874481028252566794e-01
3.500000000000000000e+01,6.980127332582841291e+02,2.800363807379547265e-01
3.600000000000000000e+01,6.954186305277289648e+02,2.726246586506541614e-01
3.700000000000000000e+01,6.928245277971732321e+02,2.652129365633521529e-01
3.800000000000000000e+01,6.902304250666180678e+02,2.578012144760515878e-01
3.900000000000000000e+01,6.876363223360627899e+02,2.503894923887509671e-01
4.000000000000000000e+01,6.850422196055071709e+02,2.429777703014489865e-01
4.100000000000000000e+01,6.824481168749518929e+02,2.355660482141483936e-01
4.200000000000000000e+01,6.798540141443967286e+02,2.281543261268477729e-01
4.300000000000000000e+01,6.772599114138409959e+02,2.207426040395458200e-01
4.400000000000000000e+01,6.746658086832858316e+02,2.133308819522451993e-01
4.500000000000000000e+01,6.720717059527305537e+02,2.059191598649446064e-01
4.600000000000000000e+01,6.694776032221749347e+02,1.985074377776426258e-01
4.700000000000000000e+01,6.668835004916197704e+02,1.910957156903420329e-01
4.800000000000000000e+01,6.642893977610640377e+02,1.836839936030400522e-01
4.900000000000000000e+01,6.616952950305087597e+02,1.762722715157394593e-01
5.000000000000000000e+01,6.591011922999535955e+02,1.688605494284388386e-01
5.100000000000000000e+01,6.565070895693978628e+02,1.614488273411368857e-01
5.200000000000000000e+01,6.539129868388426985e+02,1.540371052538362928e-01
5.300000000000000000e+01,6.513188841082875342e+02,1.466253831665356722e-01
5.400000000000000000e+01,6.487247813777318015e+02,1.392136610792337192e-01
5.500000000000000000e+01,6.461306786471766372e+02,1.318019389919330986e-01
5.600000000000000000e+01,6.435365759166213593e+02,1.243902169046324918e-01
5.700000000000000000e+01,6.409424731860656266e+02,1.169784948173305250e-01
5.800000000000000000e+01,6.383483704555104623e+02,1.095667727300299182e-01
5.900000000000000000e+01,6.357542677249548433e+02,1.021550506427279653e-01
6.000000000000000000e+01,6.331601649943995653e+02,9.474332855542735854e-02
6.100000000000000000e+01,6.351578587182070805e+02,1.004510249091631058e-01
6.200000000000000000e+01,6.371555524420150505e+02,1.061587212629002269e-01
6.300000000000000000e+01,6.391532461658225657e+02,1.118664176166359742e-01
6.400000000000000000e+01,6.411509398896305356e+02,1.175741139703730953e-01
6.500000000000000000e+01,6.431486336134380508e+02,1.232818103241088425e-01
6.600000000000000000e+01,6.451463273372455660e+02,1.289895066778445898e-01
6.700000000000000000e+01,6.471440210610536496e+02,1.346972030315817248e-01
6.800000000000000000e+01,6.491417147848611648e+02,1.404048993853174720e-01
6.900000000000000000e+01,6.511394085086691348e+02,1.461125957390545793e-01
7.000000000000000000e+01,6.531371022324766500e+02,1.518202920927903266e-01
7.100000000000000000e+01,6.551347959562841652e+02,1.575279884465261016e-01
7.200000000000000000e+01,6.571324896800921351e+02,1.632356848002632088e-01
7.300000000000000000e+01,6.591301834038996503e+02,1.689433811539989561e-01
7.400000000000000000e+01,6.611278771277076203e+02,1.746510775077360633e-01
7.500000000000000000e+01,6.631255708515151355e+02,1.803587738614718383e-01
7.600000000000000000e+01,6.651232645753226507e+02,1.860664702152075856e-01
7.700000000000000000e+01,6.671209582991306206e+02,1.917741665689446928e-01
7.800000000000000000e+01,6.691186520229381358e+02,1.974818629226804678e-01
7.900000000000000000e+01,6.711163457467461058e+02,2.031895592764175751e-01
8.000000000000000000e+01,6.731140394705536210e+02,2.088972556301533223e-01
8.100000000000000000e+01,6.751117331943611362e+02,2.146049519838890696e-01
8.200000000000000000e+01,6.771094269181692198e+02,2.203126483376262046e-01
8.300000000000000000e+01,6.791071206419767350e+02,2.260203446913619518e-01
8.400000000000000000e+01,6.811048143657847049e+02,2.317280410450990591e-01
8.500000000000000000e+01,6.831025080895922201e+02,2.374357373988348063e-01
8.600000000000000000e+01,6.851002018133997353e+02,2.431434337525705813e-01
8.700000000000000000e+01,6.870978955372077053e+02,2.488511301063076886e-01
8.800000000000000000e+01,6.890955892610152205e+02,2.545588264600434636e-01
8.900000000000000000e+01,6.910932829848231904e+02,2.602665228137805431e-01
9.000000000000000000e+01,6.930909767086307056e+02,2.659742191675162903e-01
9.100000000000000000e+01,6.950886704324382208e+02,2.716819155212520376e-01
9.200000000000000000e+01,6.970863641562461908e+02,2.773896118749891726e-01
9.300000000000000000e+01,6.990840578800537060e+02,2.830973082287249198e-01
9.400000000000000000e+01,7.010817516038616759e+02,2.888050045824620549e-01
9.500000000000000000e+01,7.030794453276691911e+02,2.945127009361978021e-01
9.600000000000000000e+01,7.050771390514767063e+02,3.002203972899335493e-01
9.700000000000000000e+01,7.070748327752846762e+02,3.059280936436706844e-01
9.800000000000000000e+01,7.090725264990921914e+02,3.116357899974064316e-01
9.900000000000000000e+01,7.110702202229002751e+02,3.173434863511435111e-01
1.000000000000000000e+02,7.130679139467077903e+02,3.230511827048793139e-01
1.010000000000000000e+02,7.150656076705153055e+02,3.287588790586150611e-01
1.020000000000000000e+02,7.170633013943232754e+02,3.344665754123521406e-01
1.030000000000000000e+02,7.190609951181307906e+02,3.401742717660879434e-01
1.040000000000000000e+02,7.210586888419387606e+02,3.458819681198250229e-01
1.050000000000000000e+02,7.230563825657462758e+02,3.515896644735607701e-01
1.060000000000000000e+02,7.250540762895537910e+02,3.572973608272965174e-01
1.070000000000000000e+02,7.270517700133617609e+02,3.630050571810336524e-01
1.080000000000000000e+02,7.290494637371692761e+02,3.687127535347693996e-01
1.090000000000000000e+02,7.310471574609772460e+02,3.744204498885065346e-01
1.100000000000000000e+02,7.330448511847847612e+02,3.801281462422422819e-01
1.110000000000000000e+02,7.350425449085922764e+02,3.858358425959780291e-01
1.120000000000000000e+02,7.370402386324003601e+02,3.915435389497151641e-01
1.130000000000000000e+02,7.390379323562078753e+02,3.972512353034509114e-01
1.140000000000000000e+02,7.410356260800158452e+02,4.029589316571879909e-01
1.150000000000000000e+02,7.430333198038233604e+02,4.086666280109237936e-01
1.160000000000000000e+02,7.450310135276308756e+02,4.143743243646595409e-01
1.170000000000000000e+02,7.470287072514388456e+02,4.200820207183966204e-01
1.180000000000000000e+02,7.490264009752463608e+02,4.257897170721324231e-01
1.190000000000000000e+02,7.510240946990543307e+02,4.314974134258695027e-01
1.200000000000000000e+02,7.530217884228618459e+02,4.372051097796052499e-01
1.210000000000000000e+02,7.530209355490469534e+02,4.372026729972771641e-01
1.220000000000000000e+02,7.530200826752321746e+02,4.372002362149490229e-01
1.230000000000000000e+02,7.530192298014172820e+02,4.371977994326208816e-01
1.240000000000000000e+02,7.530183769276025032e+02,4.371953626502927959e-01
1.250000000000000000e+02,7.530175240537876107e+02,4.371929258679646546e-01
1.260000000000000000e+02,7.530166711799732866e+02,4.371904890856379011e-01
1.270000000000000000e+02,7.530158183061583941e+02,4.371880523033097599e-01
1.280000000000000000e+02,7.530149654323436152e+02,4.371856155209816186e-01
1.290000000000000000e+02,7.530141125585287227e+02,4.371831787386535328e-01
1.300000000000000000e+02,7.530132596847138302e+02,4.371807419563253916e-01
1.310000000000000000e+02,7.530124068108990514e+02,4.371783051739972503e-01
1.320000000000000000e+02,7.530115539370842725e+02,4.371758683916691646e-01
1.330000000000000000e+02,7.530107010632693800e+02,4.371734316093410233e-01
1.340000000000000000e+02,7.530098481894544875e+02,4.371709948270128820e-01
1.350000000000000000e+02,7.530089953156401634e+02,4.371685580446861286e-01
1.360000000000000000e+02,7.530081424418253846e+02,4.371661212623580428e-01
1.370000000000000000e+02,7.530072895680104921e+02,4.371636844800299015e-01
1.380000000000000000e+02,7.530064366941955996e+02,4.371612476977017603e-01
1.390000000000000000e+02,7.530055838203808207e+02,4.371588109153736745e-01
1.400000000000000000e+02,7.530047309465659282e+02,4.371563741330455333e-01
1.410000000000000000e+02,7.530038780727511494e+02,4.371539373507173920e-01
1.420000000000000000e+02,7.530030251989362569e+02,4.371515005683893063e-01
1.430000000000000000e+02,7.530021723251213643e+02,4.371490637860611650e-01
1.440000000000000000e+02,7.530013194513065855e+02,4.371466270037330237e-01
1.450000000000000000e+02,7.530004665774916930e+02,4.371441902214049380e-01
1.460000000000000000e+02,7.529996137036773689e+02,4.371417534390781845e-01
1.470000000000000000e+02,7.529987608298624764e+02,4.371393166567500432e-01
1.480000000000000000e+02,7.529979079560476976e+02,4.371368798744219020e-01
1.490000000000000000e+02,7.529970550822328050e+02,4.371344430920938162e-01
1.500000000000000000e+02,7.529962022084180262e+02,4.371320063097656750e-01
1.510000000000000000e+02,7.529953493346031337e+02,4.371295695274375337e-01
1.520000000000000000e+02,7.529944964607882412e+02,4.371271327451094479e-01
1.530000000000000000e+02,7.529936435869734623e+02,4.371246959627813067e-01
1.540000000000000000e+02,7.529927907131585698e+02,4.371222591804531654e-01
1.550000000000000000e+02,7.529919378393442457e+02,4.371198223981264119e-01
1.560000000000000000e+02,7.529910849655293532e+02,4.371173856157982707e-01
1.570000000000000000e+02,7.529902320917145744e+02,4.371149488334701849e-01
1.580000000000000000e+02,7.529893792178996819e+02,4.371125120511420437e-01
1.590000000000000000e+02,7.529885263440849030e+02,4.371100752688139024e-01
1.600000000000000000e+02,7.529876734702700105e+02,4.371076384864858166e-01
1.610000000000000000e+02,7.529868205964551180e+02,4.371052017041576754e-01
1.620000000000000000e+02,7.529859677226403392e+02,4.371027649218295341e-01
1.630000000000000000e+02,7.529851148488255603e+02,4.371003281395014484e-01
1.640000000000000000e+02,7.529842619750106678e+02,4.370978913571733071e-01
1.650000000000000000e+02,7.529834091011957753e+02,4.370954545748451658e-01
1.660000000000000000e+02,7.529825562273814512e+02,4.370930177925184124e-01
1.670000000000000000e+02,7.529817033535666724e+02,4.370905810101903266e-01
1.680000000000000000e+02,7.529808504797517799e+02,4.370881442278621853e-01
1.690000000000000000e+02,7.529799976059368873e+02,4.370857074455340441e-01
1.700000000000000000e+02,7.529791447321221085e+02,4.370832706632059583e-01
1.710000000000000000e+02,7.529782918583072160e+02,4.370808338808778171e-01
1.720000000000000000e+02,7.529774389844924372e+02,4.370783970985496758e-01
1.730000000000000000e+02,7.529765861106775446e+02,4.370759603162215901e-01
1.740000000000000000e+02,7.529757332368626521e+02,4.370735235338934488e-01
1.750000000000000000e+02,7.529748803630483280e+02,4.370710867515666953e-01
1.760000000000000000e+02,7.529740274892335492e+02,4.370686499692385540e-01
1.770000000000000000e+02,7.529731746154186567e+02,4.370662131869104128e-01
1.780000000000000000e+02,7.529723217416037642e+02,4.370637764045823270e-01
1.790000000000000000e+02,7.529714688677889853e+02,4.370613396222541858e-01
1.800000000000000000e+02,7.529706159939740928e+02,4.370589028399260445e-01
1.810000000000000000e+02,7.536343917533133663e+02,4.389554050094666704e-01
1.820000000000000000e+02,7.542981675126520713e+02,4.408519071790058530e-01
1.830000000000000000e+02,7.549619432719912311e+02,4.427484093485464234e-01
1.840000000000000000e+02,7.556257190313305045e+02,4.446449115180870493e-01
1.850000000000000000e+02,7.562894947906692096e+02,4.465414136876262319e-01
1.860000000000000000e+02,7.569532705500083694e+02,4.484379158571668023e-01
1.870000000000000000e+02,7.576170463093476428e+02,4.503344180267074282e-01
1.880000000000000000e+02,7.582808220686863478e+02,4.522309201962466108e-01
1.890000000000000000e+02,7.589445978280255076e+02,4.541274223657871811e-01
1.900000000000000000e+02,7.596083735873646674e+02,4.560239245353278070e-01
1.910000000000000000e+02,7.602721493467034861e+02,4.579204267048669896e-01
1.920000000000000000e+02,7.609359251060426459e+02,4.598169288744075600e-01
1.930000000000000000e+02,7.615997008653818057e+02,4.617134310439481304e-01
1.940000000000000000e+02,7.622634766247206244e+02,4.636099332134873685e-01
1.950000000000000000e+02,7.629272523840597842e+02,4.655064353830279389e-01
1.960000000000000000e+02,7.635910281433989439e+02,4.674029375525685093e-01
1.970000000000000000e+02,7.642548039027376490e+02,4.692994397221077474e-01
1.980000000000000000e+02,7.649185796620769224e+02,4.711959418916483178e-01
1.990000000000000000e+02,7.655823554214160822e+02,4.730924440611888881e-01
2.000000000000000000e+02,7.662461311807549009e+02,4.749889462307281263e-01
2.010000000000000000e+02,7.669099069400940607e+02,4.768854484002686966e-01
2.020000000000000000e+02,7.675736826994332205e+02,4.787819505698092670e-01
2.030000000000000000e+02,7.682374584587719255e+02,4.806784527393485051e-01
2.040000000000000000e+02,7.689012342181111990e+02,4.825749549088890755e-01
2.050000000000000000e+02,7.695650099774503587e+02,4.844714570784296459e-01
2.060000000000000000e+02,7.702287857367891775e+02,4.863679592479688840e-01
