t_s,P_kW,power_normalized
0.000000000000000000e+00,6.000009447905958950e+02,2.699401702432537346e-06
1.000000000000000000e+00,6.000010148605300628e+02,2.899601514544882250e-06
2.000000000000000000e+00,6.000000000000000000e+02,0.000000000000000000e+00
3.000000000000000000e+00,6.000076633870810383e+02,2.189539166002432114e-05
4.000000000000000000e+00,6.000023984596115270e+02,6.852741747313334827e-06
5.000000000000000000e+00,6.000031983998098895e+02,9.138285171155803159e-06
6.000000000000000000e+00,6.000039649566210755e+02,1.132844748894811037e-05
7.000000000000000000e+00,6.000049622625359689e+02,1.417789295990198993e-05
8.000000000000000000e+00,6.000212156842726472e+02,6.061624077884670035e-05
9.000000000000000000e+00,6.000222870120937841e+02,6.367717741088634964e-05
1.000000000000000000e+01,6.000213610206361636e+02,6.103148753184648980e-05
1.100000000000000000e+01,6.000682381874125895e+02,1.949662497503290906e-04
1.200000000000000000e+01,6.002327043477790767e+02,6.648695650830083875e-04
1.300000000000000000e+01,6.002953136049864042e+02,8.437531571040179836e-04
1.400000000000000000e+01,6.001352759440626414e+02,3.865026973218967251e-04
1.500000000000000000e+01,6.000327158572578128e+02,9.347387787930714893e-05
1.600000000000000000e+01,6.000313168585838639e+02,8.947673881118193282e-05
1.700000000000000000e+01,6.000296241705157172e+02,8.464048718781494126e-05
1.800000000000000000e+01,6.000281909951459056e+02,8.054570041698353583e-05
1.900000000000000000e+01,6.000328345795269342e+02,9.381308436277061230e-05
2.000000000000000000e+01,6.000336741114532515e+02,9.621174700917260888e-05
2.100000000000000000e+01,6.008999009452915061e+02,2.571145557975794849e-03
2.200000000000000000e+01,6.192931532306639610e+02,5.512329494475431968e-02
2.300000000000000000e+01,6.200663420157409291e+02,5.733240575925990790e-02
2.400000000000000000e+01,6.242887213578700312e+02,6.939634673677150256e-02
2.500000000000000000e+01,6.267463133078147166e+02,7.641803802232777221e-02
2.600000000000000000e+01,6.268081056434983793e+02,7.659458755285238063e-02
2.700000000000000000e+01,6.268122459992597442e+02,7.660641714074196973e-02
2.800000000000000000e+01,6.268154864640989672e+02,7.661567561171142571e-02
2.900000000000000000e+01,6.268194192975304304e+02,7.662691227865822685e-02
3.000000000000000000e+01,6.268303791662710864e+02,7.665822618934596544e-02
3.100000000000000000e+01,6.268318615943893519e+02,7.666246169825528811e-02
3.200000000000000000e+01,6.275515581694312459e+02,7.871873762694631127e-02
3.300000000000000000e+01,6.274207213643041996e+02,7.834491818372613103e-02
3.400000000000000000e+01,6.268348947351792049e+02,7.667112781479785977e-02
3.500000000000000000e+01,6.385300732899542027e+02,1.100859236855835782e-01
3.600000000000000000e+01,6.419476075501204377e+02,1.198503072860583468e-01
3.700000000000000000e+01,6.419674410341045814e+02,1.199069743831559925e-01
3.800000000000000000e+01,6.419941550117970337e+02,1.199833000337059141e-01
3.900000000000000000e+01,6.365427013420469393e+02,1.044077181201341631e-01
4.000000000000000000e+01,6.295408575980248997e+02,8.440245028007099803e-02
4.100000000000000000e+01,6.312832033725877636e+02,8.938058106453659890e-02
4.200000000000000000e+01,6.316001046672511166e+02,9.028601333500328729e-02
4.300000000000000000e+01,6.303174832560835057e+02,8.662138073166701646e-02
4.400000000000000000e+01,6.313265489295656607e+02,8.950442551304482741e-02
4.500000000000000000e+01,6.314181794684224087e+02,8.976622705263553881e-02
4.600000000000000000e+01,6.315985710251968612e+02,9.028163150056253694e-02
4.700000000000000000e+01,6.295723520515633709e+02,8.449243443303812440e-02
4.800000000000000000e+01,6.300615195417885843e+02,8.589005583368161667e-02
4.900000000000000000e+01,6.318702314222844052e+02,9.105780406366963120e-02
5.000000000000000000e+01,6.304591742799042322e+02,8.702621222829790004e-02
5.100000000000000000e+01,6.307734121959871345e+02,8.792403484567741512e-02
5.200000000000000000e+01,6.310514016356371485e+02,8.871829038753471786e-02
5.300000000000000000e+01,6.308050032832941270e+02,8.801429509512617710e-02
5.400000000000000000e+01,6.307673782835411203e+02,8.790679509583167184e-02
5.500000000000000000e+01,6.316581476945823397e+02,9.045185055594943957e-02
5.600000000000000000e+01,6.308032007416769602e+02,8.800914497621990795e-02
5.700000000000000000e+01,6.315101183114758214e+02,9.002890946135938544e-02
5.800000000000000000e+01,6.314943202966591116e+02,8.998377227616878582e-02
5.900000000000000000e+01,6.309553040274087152e+02,8.844372579259630884e-02
6.000000000000000000e+01,6.306299356826210669e+02,8.751410195034584061e-02
6.100000000000000000e+01,6.313732314256318432e+02,8.963780407323392041e-02
6.200000000000000000e+01,6.316577364871112650e+02,9.045067567746088721e-02
6.300000000000000000e+01,6.309914801243468219e+02,8.854708606956240846e-02
6.400000000000000000e+01,6.316590747536519075e+02,9.045449929614836349e-02
6.500000000000000000e+01,6.315320632813210295e+02,9.009160937520302448e-02
6.600000000000000000e+01,6.308013253238190146e+02,8.800378663948293934e-02
6.700000000000000000e+01,6.319833403051103460e+02,9.138097230031526352e-02
6.800000000000000000e+01,6.311375245275838779e+02,8.896435579309674990e-02
6.900000000000000000e+01,6.310012069119621856e+02,8.857487689132044484e-02
7.000000000000000000e+01,6.315487606546088273e+02,9.013931615602507885e-02
7.100000000000000000e+01,6.310007839324649694e+02,8.857366837847119312e-02
7.200000000000000000e+01,6.314325411966619868e+02,8.980726056189138051e-02
7.300000000000000000e+01,6.319484096426597262e+02,9.128117040759924083e-02
7.400000000000000000e+01,6.311196123763154446e+02,8.891317821804423094e-02
7.500000000000000000e+01,6.306880683354651183e+02,8.768019524418589616e-02
7.600000000000000000e+01,6.320139074584577656e+02,9.146830702416497427e-02
7.700000000000000000e+01,6.313252636716682673e+02,8.950075334762365442e-02
7.800000000000000000e+01,6.306393976864658271e+02,8.754113624704516761e-02
7.900000000000000000e+01,6.314825841714346097e+02,8.995024048981317688e-02
8.000000000000000000e+01,6.317709399839684465e+02,9.077411423990973394e-02
8.100000000000000000e+01,6.308996944668290325e+02,8.828484133379735366e-02
8.200000000000000000e+01,6.313423442214866554e+02,8.954955491853330840e-02
8.300000000000000000e+01,6.312990641976032293e+02,8.942589770743768207e-02
8.400000000000000000e+01,6.305429802808432669e+02,8.726565794526637554e-02
8.500000000000000000e+01,6.301477412063209158e+02,8.613640344663110737e-02
8.600000000000000000e+01,6.311460751754848388e+02,8.898878621567110625e-02
8.700000000000000000e+01,6.307016910952135049e+02,8.771911741489586689e-02
8.800000000000000000e+01,6.312832100763628205e+02,8.938060021817956224e-02
8.900000000000000000e+01,6.312337962744742299e+02,8.923941792706931164e-02
9.000000000000000000e+01,6.306087103739696431e+02,8.745345821134183073e-02
9.100000000000000000e+01,6.303762539849591349e+02,8.678929709988338070e-02
9.200000000000000000e+01,6.309907811057329354e+02,8.854508887352253999e-02
9.300000000000000000e+01,6.322768281295559518e+02,9.221950894158829903e-02
9.400000000000000000e+01,6.303501523407152263e+02,8.671472097347206198e-02
9.500000000000000000e+01,6.306607943931674072e+02,8.760226969476408998e-02
9.600000000000000000e+01,6.306372740502428087e+02,8.753506871497930553e-02
9.700000000000000000e+01,6.309433043023648224e+02,8.840944086389944390e-02
9.800000000000000000e+01,6.302216742020469837e+02,8.634764057727714603e-02
9.900000000000000000e+01,6.313162767438262790e+02,8.947507641093235820e-02
1.000000000000000000e+02,6.308540523767112518e+02,8.815443536203215746e-02
1.010000000000000000e+02,6.300402537034914303e+02,8.582929629568972207e-02
1.020000000000000000e+02,6.302396713335847380e+02,8.639906095309912715e-02
1.030000000000000000e+02,6.313117774995291711e+02,8.946222142722623505e-02
1.040000000000000000e+02,6.289926722365573823e+02,8.283620639016409104e-02
1.050000000000000000e+02,6.281931964251682530e+02,8.055198978619514116e-02
1.060000000000000000e+02,6.288190466584644582e+02,8.234013330989850554e-02
1.070000000000000000e+02,6.281411539488377684e+02,8.040329699667936314e-02
1.080000000000000000e+02,6.291150537331485566e+02,8.318586780899588085e-02
1.090000000000000000e+02,6.305669380679623828e+02,8.733410876560676606e-02
1.100000000000000000e+02,6.305695771937773770e+02,8.734164912507812184e-02
1.110000000000000000e+02,6.320475466122854868e+02,9.156441889224420372e-02
1.120000000000000000e+02,6.293752654914673030e+02,8.392932997562073394e-02
1.130000000000000000e+02,6.313100595551694596e+02,8.945731301476994579e-02
1.140000000000000000e+02,6.308935561544252550e+02,8.826730329835789923e-02
1.150000000000000000e+02,6.315670116535164880e+02,9.019146186718982050e-02
1.160000000000000000e+02,6.301077447416182622e+02,8.602212783319507228e-02
1.170000000000000000e+02,6.314020352986196940e+02,8.972010085319921668e-02
1.180000000000000000e+02,6.313766790741665318e+02,8.964765449761857852e-02
1.190000000000000000e+02,6.305325529456086997e+02,8.723586555888188099e-02
1.200000000000000000e+02,6.307786827710816624e+02,8.793909363166189930e-02
1.210000000000000000e+02,6.310596253943451757e+02,8.874178684098632530e-02
1.220000000000000000e+02,6.309065417818655988e+02,8.830440509104463265e-02
1.230000000000000000e+02,6.304124674503458436e+02,8.689276414384536351e-02
1.240000000000000000e+02,6.312997610992781574e+02,8.942788885508033692e-02
1.250000000000000000e+02,6.312417714631765193e+02,8.926220418050445637e-02
1.260000000000000000e+02,6.297610328340464321e+02,8.503152238298967991e-02
1.270000000000000000e+02,6.314432757393719839e+02,8.983793068391998649e-02
1.280000000000000000e+02,6.321599208346329988e+02,9.188548809895133451e-02
1.290000000000000000e+02,6.297672723501708560e+02,8.504934957191670475e-02
1.300000000000000000e+02,6.305482235270217188e+02,8.728063864863355725e-02
1.310000000000000000e+02,6.307395416193684241e+02,8.782726176962402098e-02
1.320000000000000000e+02,6.318709838546586752e+02,9.105995387045343059e-02
1.330000000000000000e+02,6.306824182330685744e+02,8.766405209448159541e-02
1.340000000000000000e+02,6.313690674204793822e+02,8.962590691565522349e-02
1.350000000000000000e+02,6.316743729036999184e+02,9.049820829628560381e-02
1.360000000000000000e+02,6.303948838676919877e+02,8.684252533626292403e-02
1.370000000000000000e+02,6.299174400554143176e+02,8.547840015832672278e-02
1.380000000000000000e+02,6.310384297325628040e+02,8.868122780732219657e-02
1.390000000000000000e+02,6.274342726507939005e+02,7.838363614512534883e-02
1.400000000000000000e+02,6.271138822304097857e+02,7.746823494402811650e-02
1.410000000000000000e+02,6.270993654626488478e+02,7.742675846471103185e-02
1.420000000000000000e+02,6.270972092982206050e+02,7.742059799491585181e-02
1.430000000000000000e+02,6.270989435062824668e+02,7.742555287509286788e-02
1.440000000000000000e+02,6.271019074091877883e+02,7.743402116910809430e-02
1.450000000000000000e+02,6.270941794505283724e+02,7.741194128722402035e-02
1.460000000000000000e+02,6.270953971516925094e+02,7.741542043340716994e-02
1.470000000000000000e+02,6.271007108064624163e+02,7.743060230417821155e-02
1.480000000000000000e+02,6.270940534778671918e+02,7.741158136533481116e-02
1.490000000000000000e+02,6.270968044934057843e+02,7.741944140973069932e-02
1.500000000000000000e+02,6.270975591385775942e+02,7.742159753879322703e-02
1.510000000000000000e+02,6.271053024597173362e+02,7.744372131347815325e-02
1.520000000000000000e+02,6.270998759298387313e+02,7.742821694239647445e-02
1.530000000000000000e+02,6.271010533327628309e+02,7.743158095075088065e-02
1.540000000000000000e+02,6.271029866933174617e+02,7.743710483804998324e-02
1.550000000000000000e+02,6.271004918272564055e+02,7.742997664930405255e-02
1.560000000000000000e+02,6.271044789786053570e+02,7.744136851030107571e-02
1.570000000000000000e+02,6.271144603382313107e+02,7.746988668066101535e-02
1.580000000000000000e+02,6.271418426506975266e+02,7.754812185913577405e-02
1.590000000000000000e+02,6.271548608794055326e+02,7.758531679830164840e-02
1.600000000000000000e+02,6.271531162771029813e+02,7.758033222029414588e-02
1.610000000000000000e+02,6.271638715408274720e+02,7.761106154522130762e-02
1.620000000000000000e+02,6.271572557605314842e+02,7.759215931580418224e-02
1.630000000000000000e+02,6.271542679254368977e+02,7.758362264410556541e-02
1.640000000000000000e+02,6.271472952737400419e+02,7.756370078211448360e-02
1.650000000000000000e+02,6.271502214056116600e+02,7.757206115889039855e-02
1.660000000000000000e+02,6.277713441597178416e+02,7.934669759919381338e-02
1.670000000000000000e+02,6.289467168302473965e+02,8.270490522927823052e-02
1.680000000000000000e+02,6.289126259812984472e+02,8.260750280370975085e-02
1.690000000000000000e+02,6.310928126745682221e+02,8.883660764162348844e-02
1.700000000000000000e+02,6.275585452125044412e+02,7.873870060715558450e-02
1.710000000000000000e+02,6.275600632288611678e+02,7.874303779674624026e-02
1.720000000000000000e+02,6.275645700067194639e+02,7.875591430491291067e-02
1.730000000000000000e+02,6.285850686748085536e+02,8.167162478516729052e-02
1.740000000000000000e+02,6.283443675635263617e+02,8.098390732436111517e-02
1.750000000000000000e+02,6.271993643001347891e+02,7.771246942895648768e-02
1.760000000000000000e+02,6.279586972351044096e+02,7.988199210029818531e-02
1.770000000000000000e+02,6.284107270895830197e+02,8.117350597023720304e-02
1.780000000000000000e+02,7.431941742208359756e+02,4.091262120595315355e-01
1.790000000000000000e+02,8.381762475649734370e+02,6.805035644713528509e-01
1.800000000000000000e+02,8.381079427013778513e+02,6.803084077182225409e-01
1.810000000000000000e+02,8.378009170986819072e+02,6.794311917105197995e-01
1.820000000000000000e+02,8.362873802667522796e+02,6.751068007621493505e-01
