t_s,P_kW,power_normalized
0.000000000000000000e+00,6.348626183641194984e+02,9.960748104034133910e-02
1.000000000000000000e+00,6.342815747247175295e+02,9.794735635633583515e-02
2.000000000000000000e+00,6.337005310853155606e+02,9.628723167233034508e-02
3.000000000000000000e+00,6.331194874459132507e+02,9.462710698832368927e-02
4.000000000000000000e+00,6.325384438065113955e+02,9.296698230431818533e-02
5.000000000000000000e+00,6.319574001671094265e+02,9.130685762031269526e-02
6.000000000000000000e+00,6.313763565277075713e+02,8.964673293630720519e-02
7.000000000000000000e+00,6.307953128883056024e+02,8.798660825230170124e-02
8.000000000000000000e+00,6.302142692489036335e+02,8.632648356829621117e-02
9.000000000000000000e+00,6.296332256095017783e+02,8.466635888429070722e-02
1.000000000000000000e+01,6.290521819700994683e+02,8.300623420028406529e-02
1.100000000000000000e+01,6.284711383306974994e+02,8.134610951627856135e-02
1.200000000000000000e+01,6.278900946912955305e+02,7.968598483227307128e-02
1.300000000000000000e+01,6.273090510518936753e+02,7.802586014826756733e-02
1.400000000000000000e+01,6.267280074124917064e+02,7.636573546426207726e-02
1.500000000000000000e+01,6.261469637730893965e+02,7.470561078025542145e-02
1.600000000000000000e+01,6.255659201336874276e+02,7.304548609624993138e-02
1.700000000000000000e+01,6.249848764942855723e+02,7.138536141224442744e-02
1.800000000000000000e+01,6.244038328548836034e+02,6.972523672823893737e-02
1.900000000000000000e+01,6.238227892154817482e+02,6.806511204423343342e-02
2.000000000000000000e+01,6.232417455760797793e+02,6.640498736022794335e-02
2.100000000000000000e+01,6.226607019366778104e+02,6.474486267622243940e-02
2.200000000000000000e+01,6.220796582972755004e+02,6.308473799221579748e-02
2.300000000000000000e+01,6.214986146578736452e+02,6.142461330821029353e-02
2.400000000000000000e+01,6.209175710184716763e+02,5.976448862420480346e-02
2.500000000000000000e+01,6.203365273790697074e+02,5.810436394019930645e-02
2.600000000000000000e+01,6.197554837396678522e+02,5.644423925619380944e-02
2.700000000000000000e+01,6.191744401002655422e+02,5.478411457218715364e-02
2.800000000000000000e+01,6.185933964608635733e+02,5.312398988818165663e-02
2.900000000000000000e+01,6.180123528214616044e+02,5.146386520417615962e-02
3.000000000000000000e+01,6.174313091820597492e+02,4.980374052017066955e-02
3.100000000000000000e+01,6.168502655426577803e+02,4.814361583616517254e-02
3.200000000000000000e+01,6.162692219032559251e+02,4.648349115215967553e-02
3.300000000000000000e+01,6.156881782638539562e+02,4.482336646815417852e-02
3.400000000000000000e+01,6.151071346244516462e+02,4.316324178414752272e-02
3.500000000000000000e+01,6.145260909850496773e+02,4.150311710014203265e-02
3.600000000000000000e+01,6.139450473456478221e+02,3.984299241613653564e-02
3.700000000000000000e+01,6.133640037062458532e+02,3.818286773213103863e-02
3.800000000000000000e+01,6.127829600668438843e+02,3.652274304812554162e-02
3.900000000000000000e+01,6.122019164274415743e+02,3.486261836411888582e-02
4.000000000000000000e+01,6.116208727880397191e+02,3.320249368011338881e-02
4.100000000000000000e+01,6.110398291486377502e+02,3.154236899610789874e-02
4.200000000000000000e+01,6.104587855092358950e+02,2.988224431210240173e-02
4.300000000000000000e+01,6.098777418698339261e+02,2.822211962809690472e-02
4.400000000000000000e+01,6.092966982304319572e+02,2.656199494409140771e-02
4.500000000000000000e+01,6.087156545910301020e+02,2.490187026008591417e-02
4.600000000000000000e+01,6.081346109516277920e+02,2.324174557607925837e-02
4.700000000000000000e+01,6.075535673122258231e+02,2.158162089207376136e-02
4.800000000000000000e+01,6.069725236728238542e+02,1.992149620806826782e-02
4.900000000000000000e+01,6.063914800334219990e+02,1.826137152406277081e-02
5.000000000000000000e+01,6.058104363940200301e+02,1.660124684005727380e-02
