t_s,P_kW,power_normalized
0.000000000000000000e+00,6.000000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+00,6.000016055031412634e+02,4.587151832027431658e-06
2.000000000000000000e+00,6.007810531523812188e+02,2.231580435375053652e-03
3.000000000000000000e+00,6.006393539367300036e+02,1.826725533514159464e-03
4.000000000000000000e+00,6.000048904631374853e+02,1.397275182151508064e-05
5.000000000000000000e+00,6.126710330405589957e+02,3.620295154445433289e-02
6.000000000000000000e+00,6.163722998489066640e+02,4.677799956830460543e-02
7.000000000000000000e+00,6.163937799601143297e+02,4.683937131461234082e-02
8.000000000000000000e+00,6.164227118014434836e+02,4.692203371840994452e-02
9.000000000000000000e+00,6.105186643247958500e+02,3.005332664227393369e-02
1.000000000000000000e+01,6.029355093732708610e+02,8.387169637916884121e-03
1.100000000000000000e+01,6.048225092079824208e+02,1.377859773709269771e-02
1.200000000000000000e+01,6.051657204691338166e+02,1.475920134038246137e-02
1.300000000000000000e+01,6.037766125054874919e+02,1.079032144425013870e-02
1.400000000000000000e+01,6.048694534253971824e+02,1.391272407256338543e-02
1.500000000000000000e+01,6.049686913689796484e+02,1.419626105422755122e-02
1.600000000000000000e+01,6.051640595001430256e+02,1.475445571469429298e-02
1.700000000000000000e+01,6.029696185779357620e+02,8.484624508387829736e-03
1.800000000000000000e+01,6.034993980204994841e+02,9.998280058569931905e-03
1.900000000000000000e+01,6.054582738471949597e+02,1.559506813484270484e-02
2.000000000000000000e+01,6.039300670851888526e+02,1.122876310053968520e-02
2.100000000000000000e+01,6.042703938471699985e+02,1.220112527762844470e-02
2.200000000000000000e+01,6.045714626902948794e+02,1.306132197227097627e-02
2.300000000000000000e+01,6.043046077083891987e+02,1.229887916682621818e-02
2.400000000000000000e+01,6.042638589836803931e+02,1.218245423908699381e-02
2.500000000000000000e+01,6.052285823789677579e+02,1.493880679705072642e-02
2.600000000000000000e+01,6.043026555150970580e+02,1.229330147170579549e-02
2.700000000000000000e+01,6.050682632129718286e+02,1.448075203706237872e-02
2.800000000000000000e+01,6.050511536060366780e+02,1.443186744581908924e-02
2.900000000000000000e+01,6.044673868096684828e+02,1.276396231333854631e-02
3.000000000000000000e+01,6.041150055419556111e+02,1.175715869130171745e-02
3.100000000000000000e+01,6.049200116232284472e+02,1.405717606636697377e-02
3.200000000000000000e+01,6.052281370319872167e+02,1.493753437710626172e-02
3.300000000000000000e+01,6.045065663398968354e+02,1.287590382827675899e-02
3.400000000000000000e+01,6.052295864048830936e+02,1.494167544252314288e-02
3.500000000000000000e+01,6.050920301110670607e+02,1.454865746019175753e-02
3.600000000000000000e+01,6.043006243951898568e+02,1.228749827197092928e-02
3.700000000000000000e+01,6.055807733225075253e+02,1.594506663573573221e-02
3.800000000000000000e+01,6.046647357278519621e+02,1.332781636529136761e-02
3.900000000000000000e+01,6.045171006706194703e+02,1.290600191605560144e-02
4.000000000000000000e+01,6.051101137435435930e+02,1.460032498155297044e-02
4.100000000000000000e+01,6.045166425742685306e+02,1.290469306933868417e-02
4.200000000000000000e+01,6.049842454451049889e+02,1.424070127172848491e-02
4.300000000000000000e+01,6.055429426259644288e+02,1.583697893132684359e-02
4.400000000000000000e+01,6.046453364633797491e+02,1.327238989537078695e-02
4.500000000000000000e+01,6.041779645182446075e+02,1.193704148069895873e-02
4.600000000000000000e+01,6.056138782401169465e+02,1.603965211461997470e-02
4.700000000000000000e+01,6.048680614620593587e+02,1.390874703445536299e-02
4.800000000000000000e+01,6.041252531058730710e+02,1.178643744535154067e-02
4.900000000000000000e+01,6.050384431172909672e+02,1.439555176368847826e-02
5.000000000000000000e+01,6.053507389764328082e+02,1.528782564695102889e-02
5.100000000000000000e+01,6.044071603993003237e+02,1.259188685514364345e-02
5.200000000000000000e+01,6.048865600833747749e+02,1.396160023821355067e-02
5.300000000000000000e+01,6.048396868397817343e+02,1.382767668509054214e-02
5.400000000000000000e+01,6.040208308774443822e+02,1.148808822126967145e-02
5.500000000000000000e+01,6.035927780309981472e+02,1.026508008856620580e-02
5.600000000000000000e+01,6.046739962726941258e+02,1.335427506484042522e-02
5.700000000000000000e+01,6.041927182748003133e+02,1.197919507085804143e-02
5.800000000000000000e+01,6.048225164683223056e+02,1.377861848092072454e-02
5.900000000000000000e+01,6.047690002045831079e+02,1.362571487023756141e-02
6.000000000000000000e+01,6.040920180531909409e+02,1.169148015197415090e-02
6.100000000000000000e+01,6.038402625325335293e+02,1.097217866438149510e-02
6.200000000000000000e+01,6.045058092869466009e+02,1.287374081984745712e-02
6.300000000000000000e+01,6.058986272664857324e+02,1.685322076138778477e-02
6.400000000000000000e+01,6.038119938621621259e+02,1.089141103474903019e-02
6.500000000000000000e+01,6.041484262225981183e+02,1.185264635028023504e-02
6.600000000000000000e+01,6.041229531598689846e+02,1.177986617105424363e-02
6.700000000000000000e+01,6.044543908363633591e+02,1.272683096103832331e-02
6.800000000000000000e+01,6.036728491355697770e+02,1.049385467305646684e-02
6.900000000000000000e+01,6.048583284161852589e+02,1.388093833195799126e-02
7.000000000000000000e+01,6.043577289846145959e+02,1.245065424175607720e-02
7.100000000000000000e+01,6.034763666372128910e+02,9.932476106322505466e-03
7.200000000000000000e+01,6.036923404355934508e+02,1.054954410169541175e-02
7.300000000000000000e+01,6.048534556329702809e+02,1.386701609420081492e-02
7.400000000000000000e+01,6.023418122428952302e+02,6.690892122557664037e-03
7.500000000000000000e+01,6.014759618784199802e+02,4.217033938342816014e-03
7.600000000000000000e+01,6.021537718194922491e+02,6.153633769977902984e-03
7.700000000000000000e+01,6.014195987008765769e+02,4.055996288218834296e-03
7.800000000000000000e+01,6.024743541683905050e+02,7.069583338258573872e-03
7.900000000000000000e+01,6.040467777021182201e+02,1.156222200605218006e-02
8.000000000000000000e+01,6.040496359349956492e+02,1.157038838570187238e-02
8.100000000000000000e+01,6.056503102036454038e+02,1.614374343898687322e-02
8.200000000000000000e+01,6.027561693810228007e+02,7.874769660065039298e-03
8.300000000000000000e+01,6.048515950604190721e+02,1.386170017262604651e-02
8.400000000000000000e+01,6.044005124682979613e+02,1.257289276656572974e-02
8.500000000000000000e+01,6.051298799876639123e+02,1.465679996475397102e-02
8.600000000000000000e+01,6.035494609561759489e+02,1.014131701764564922e-02
8.700000000000000000e+01,6.049512068683748112e+02,1.414630533821359046e-02
8.800000000000000000e+01,6.049237455044763010e+02,1.406784429850382358e-02
8.900000000000000000e+01,6.040095378378242685e+02,1.145582239378355183e-02
9.000000000000000000e+01,6.042761019990634850e+02,1.221743428303858486e-02
9.100000000000000000e+01,6.045803692067563588e+02,1.308676916216107260e-02
9.200000000000000000e+01,6.044145761961707422e+02,1.261307484620197150e-02
9.300000000000000000e+01,6.038794825336358372e+02,1.108423581038819015e-02
9.400000000000000000e+01,6.048404416000391848e+02,1.382983314296900960e-02
9.500000000000000000e+01,6.047776375141130529e+02,1.365039289746587496e-02
9.600000000000000000e+01,6.031739641278011277e+02,9.068468936574716754e-03
9.700000000000000000e+01,6.049958711973609979e+02,1.427391770674585510e-02
9.800000000000000000e+01,6.057720140250632994e+02,1.649146864303788554e-02
9.900000000000000000e+01,6.031807216647191581e+02,9.087776184911876276e-03
1.000000000000000000e+02,6.040265094315044507e+02,1.150431266144132277e-02
1.010000000000000000e+02,6.042337112475308913e+02,1.209631785008835093e-02
1.020000000000000000e+02,6.054590887484542918e+02,1.559739642415525727e-02
1.030000000000000000e+02,6.041718453297092992e+02,1.191955808488369926e-02
1.040000000000000000e+02,6.049155019115803498e+02,1.404429117594379987e-02
1.050000000000000000e+02,6.052461546469814948e+02,1.498901327708991767e-02
1.060000000000000000e+02,6.038604391163958098e+02,1.102982604684516442e-02
1.070000000000000000e+02,6.033433566818956706e+02,9.552447662559110375e-03
1.080000000000000000e+02,6.045574138262205679e+02,1.302118236063014127e-02
1.090000000000000000e+02,6.006540302861317286e+02,1.868657960376454491e-03
1.100000000000000000e+02,6.003070402230029003e+02,8.772577800084002024e-04
1.110000000000000000e+02,6.002913182355734989e+02,8.323378159241244306e-04
1.120000000000000000e+02,6.002889830607882686e+02,8.256658879664545468e-04
1.130000000000000000e+02,6.002908612472963341e+02,8.310321351325084763e-04
1.140000000000000000e+02,6.002940712210995571e+02,8.402034888559293483e-04
1.150000000000000000e+02,6.002857016672911641e+02,8.162904779748747465e-04
1.160000000000000000e+02,6.002870204651607082e+02,8.200584718876666656e-04
1.170000000000000000e+02,6.002927752733157831e+02,8.365007809022130146e-04
1.180000000000000000e+02,6.002855652360532304e+02,8.159006744379521461e-04
1.190000000000000000e+02,6.002885446480289602e+02,8.244132800828231139e-04
