t_s,P_kW,power_normalized
0.000000000000000000e+00,9.119511207630430363e+02,8.912889164658374108e-01
1.000000000000000000e+00,9.115850116791527853e+02,8.902428905118652258e-01
2.000000000000000000e+00,9.112189025952625343e+02,8.891968645578930408e-01
3.000000000000000000e+00,9.108527935113722833e+02,8.881508386039208558e-01
4.000000000000000000e+00,9.104866844274815776e+02,8.871048126499475606e-01
5.000000000000000000e+00,9.101205753435913266e+02,8.860587866959753756e-01
6.000000000000000000e+00,9.097544662597010756e+02,8.850127607420031906e-01
7.000000000000000000e+00,9.093883571758108246e+02,8.839667347880310055e-01
8.000000000000000000e+00,9.090222480919205736e+02,8.829207088340587095e-01
9.000000000000000000e+00,9.086561390080303227e+02,8.818746828800865245e-01
1.000000000000000000e+01,9.082900299241400717e+02,8.808286569261143395e-01
1.100000000000000000e+01,9.079239208402498207e+02,8.797826309721421545e-01
1.200000000000000000e+01,9.075578117563591150e+02,8.787366050181688593e-01
1.300000000000000000e+01,9.071917026724688640e+02,8.776905790641966743e-01
1.400000000000000000e+01,9.068255935885786130e+02,8.766445531102244892e-01
1.500000000000000000e+01,9.064594845046883620e+02,8.755985271562523042e-01
1.600000000000000000e+01,9.060933754207981110e+02,8.745525012022801192e-01
1.700000000000000000e+01,9.057272663369078600e+02,8.735064752483079342e-01
1.800000000000000000e+01,9.053611572530174953e+02,8.724604492943357492e-01
1.900000000000000000e+01,9.049950481691269033e+02,8.714144233403624540e-01
2.000000000000000000e+01,9.046289390852366523e+02,8.703683973863902690e-01
2.100000000000000000e+01,9.042628300013464013e+02,8.693223714324180840e-01
2.200000000000000000e+01,9.038967209174560367e+02,8.682763454784457879e-01
2.300000000000000000e+01,9.035306118335657857e+02,8.672303195244736029e-01
2.400000000000000000e+01,9.031645027496754210e+02,8.661842935705014179e-01
2.500000000000000000e+01,9.027983936657851700e+02,8.651382676165292329e-01
2.600000000000000000e+01,9.024322845818949190e+02,8.640922416625570479e-01
2.700000000000000000e+01,9.020661754980043270e+02,8.630462157085837527e-01
2.800000000000000000e+01,9.017000664141140760e+02,8.620001897546115677e-01
2.900000000000000000e+01,9.013339573302237113e+02,8.609541638006393827e-01
3.000000000000000000e+01,9.009678482463334603e+02,8.599081378466671977e-01
3.100000000000000000e+01,9.006017391624432094e+02,8.588621118926950126e-01
3.200000000000000000e+01,9.002356300785529584e+02,8.578160859387228276e-01
3.300000000000000000e+01,8.998695209946627074e+02,8.567700599847506426e-01
3.400000000000000000e+01,8.995034119107720016e+02,8.557240340307773474e-01
3.500000000000000000e+01,8.991373028268817507e+02,8.546780080768051624e-01
3.600000000000000000e+01,8.987711937429914997e+02,8.536319821228329774e-01
3.700000000000000000e+01,8.984050846591012487e+02,8.525859561688606814e-01
3.800000000000000000e+01,8.980389755752109977e+02,8.515399302148884964e-01
3.900000000000000000e+01,8.976728664913207467e+02,8.504939042609163113e-01
4.000000000000000000e+01,8.973067574074304957e+02,8.494478783069441263e-01
4.100000000000000000e+01,8.969406483235402447e+02,8.484018523529719413e-01
4.200000000000000000e+01,8.965745392396495390e+02,8.473558263989986461e-01
4.300000000000000000e+01,8.962084301557592880e+02,8.463098004450264611e-01
4.400000000000000000e+01,8.958423210718690370e+02,8.452637744910542761e-01
4.500000000000000000e+01,8.954762119879787861e+02,8.442177485370820911e-01
4.600000000000000000e+01,8.951101029040885351e+02,8.431717225831099061e-01
4.700000000000000000e+01,8.947439938201982841e+02,8.421256966291377211e-01
4.800000000000000000e+01,8.943778847363079194e+02,8.410796706751654250e-01
4.900000000000000000e+01,8.940117756524173274e+02,8.400336447211922408e-01
5.000000000000000000e+01,8.936456665685270764e+02,8.389876187672200558e-01
5.100000000000000000e+01,8.932795574846368254e+02,8.379415928132478708e-01
5.200000000000000000e+01,8.929134484007464607e+02,8.368955668592755748e-01
5.300000000000000000e+01,8.925473393168562097e+02,8.358495409053033898e-01
5.400000000000000000e+01,8.921812302329658451e+02,8.348035149513312048e-01
5.500000000000000000e+01,8.918151211490755941e+02,8.337574889973590198e-01
5.600000000000000000e+01,8.914490120651853431e+02,8.327114630433868347e-01
5.700000000000000000e+01,8.910829029812947510e+02,8.316654370894135395e-01
5.800000000000000000e+01,8.907167938974045001e+02,8.306194111354413545e-01
