scenario,variant,P_raw_kW,P_filtered_kW,E_raw_kWh,SOC_final,SOC_min,throughput_kWh,EFC,u_total_variation,fallback_pct,ineq_residual,eq_residual,soc_prediction_max_error_pp,cycle_first_s,cycle_p95_s,cycle_max_s,overruns,evidence,sha256
carga_faixas,complete,0.0180790058620914,0,5.02194607764359e-06,58.8001524353504,57.3858326889728,19.8610828662093,0.0198610828662093,358.022939693617,0,0,5.6843418860808e-13,0.0146270913412465,0.050093,0.03429425,0.0548827,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\carga_faixas_complete.mat,052054163c26b49c1b171cdbe68ad316bbd3bbc03046734f363c002f061c7800
carga_faixas,inequality_only,0.218306066181583,0,7.47536179034146e-05,58.8032959543891,57.3889591313641,19.8463221419411,0.0198463221419411,357.442931627943,0,0,2.27373675443232e-13,0.0146291087130308,0.0224374,0.0302056,0.0818937,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\carga_faixas_inequality_only.mat,e9b7ec8f02b878e5ed1696b7a89a74283938ce188a684228376e99999ca3355d
carga_faixas,legacy_package_off,0.218292481815269,0,8.66893118511617e-05,58.8081013703214,57.3937661857514,19.8234800101553,0.0198234800101553,358.731520735388,0,0,2.27373675443232e-13,0.0146291105873075,0.0227247,0.03317265,0.0412725,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\carga_faixas_legacy_package_off.mat,f27821af2114b27a3ac56c39e931248d0d7142002c9c041d53b4fb0aaeb6f71e
limite_fonte,complete,5.6843418860808e-14,0,4.52583473838481e-15,50.8305816115019,50.8305816115019,43.5547373453657,0.0435547373453657,152.335416641081,0,0,4.54747350886464e-13,7.105427357601e-15,0.0215093,0.0361938,0.0475365,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\limite_fonte_complete.mat,91c117543cd091431462273252c4f5db89959d06e16ae718986202214c5a2035
limite_fonte,inequality_only,0.0508187026428573,0,1.41163062944884e-05,50.8446473280813,50.8446473280813,43.4879251916136,0.0434879251916136,151.942141560916,0,0,2.27373675443232e-13,7.105427357601e-15,0.0218246,0.0253872,0.0374035,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\limite_fonte_inequality_only.mat,5314f6ff1b1cf154e9a14e005579a88e827cc5ce1992b19e2a6da4f69f35fedb
limite_fonte,legacy_package_off,0.093800913973638,0,2.60558094415846e-05,50.8446099606658,50.8446099606658,43.4881026868374,0.0434881026868374,153.172045312388,0,0,2.27373675443232e-13,7.105427357601e-15,0.0221802,0.0228345,0.0349606,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\limite_fonte_legacy_package_off.mat,66a84d0574f9885996720ae2719f3ed538e1caddc2888296290425d2e2c05a59
perda_fonte,complete,350.067364390616,350.067364390616,14.5833808906329,57.097659804757,55.7039148447405,27.7419042770431,0.0277419042770431,1655.87681618181,1.58333333333333,0,0.00339765407807135,0.0145707653233629,0.0219716,0.03124525,0.0476929,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\perda_fonte_complete.mat,e1815b1b04bcb62fdd0bbb39aacd1668483e429080d3933916fa6625ac0467aa
perda_fonte,inequality_only,350.129101885427,350.129101885427,14.5834244754792,57.1537005536591,55.7599558491281,27.4757081615407,0.0274757081615407,1591.19906591572,2,0,6.13908923696727e-12,0.0145707607791863,0.0218327,0.02787795,0.0357983,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\perda_fonte_inequality_only.mat,00af09c51f8c12637e83ea047243f3f737e3b3e2be0dcf04cea2c40460f3c6e3
perda_fonte,legacy_package_off,351.634708479453,351.634708479453,14.5844873908313,57.4006715960166,56.0069280183881,26.3025844264913,0.0263025844264913,1465.89762258737,2.58333333333333,0,0.00519658462394545,0.0145707407530224,0.0210436,0.0290786,0.038428,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\perda_fonte_legacy_package_off.mat,8dc943ab771564755980d58b6f0925d1a8576633ee7ae17bd652cdbfcf618387
retorno_fonte,complete,350.089666001648,350.089666001648,24.3056188571574,54.9158703479587,53.5221155051687,38.105503154604,0.038105503154604,1598.24718372749,2.33333333333333,0,0.00218863557802251,0.0145709422382936,0.0218963,0.03303785,0.0991477,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\retorno_fonte_complete.mat,012d68c2fe63a0583d2dd8f7465a924f102db3666f25003ee4ff8f9235bf6750
retorno_fonte,inequality_only,350.129102018782,350.129102018782,24.3056466978101,54.8313480939729,53.4375928708254,38.5069876696165,0.0385069876696165,1576.93401330667,2.08333333333333,0,6.65068000671454e-12,0.0145709490919543,0.0217179,0.0333338,0.0481373,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\retorno_fonte_inequality_only.mat,47eea09ba9e038b302a8c62bf555c83b22815106dfb84676958ff86dea300d3d
retorno_fonte,legacy_package_off,351.634708552864,351.634708552864,24.3067096131103,55.0944660996997,53.7007120612186,37.2571652801665,0.0372571652801665,1325.25663510902,2.91666666666667,0,0.00519680769383513,0.0145709277564876,0.0215235,0.0290592,0.0457589,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\retorno_fonte_legacy_package_off.mat,259dbda3e5a9212f58c953de166496c1ffc096547ef689c3b7be53c5500cbbc7
multi_burst,complete,0.0181567803090275,0,1.58093766369832e-05,58.9378013841861,57.8689006453122,21.9557427977134,0.0219557427977134,1159.68489659085,0,0,2.27373675443232e-13,0.043721733862931,0.0198032,0.03349715,0.0459716,0,05_resultados\revisao_operacional\ablacao_evento_campaign_20260910_165321_217\multi_burst_complete.mat,9efd2cbef776fefcfd2f1e9a1e741295d44cc1490f2d435489053db5df23a9a6
