input,time_s,original_flag,scaled_flag,reference_flag_a,reference_flag_b,chol_flag,hessian_cond,action_original_candidate,action_historical_applied,action_scaled,reference_action_difference,candidate_reference_difference,feasibility_residual,relative_stationarity,iterations,passed
campanha_v1/j00014.mat,462,-6,1,1,1,0,333283.202135429,297.740287512073,0,297.740691310397,8.88178419700125e-16,0.000361672721826523,1.13686837721616e-13,3.45229138633403e-14,12,1
campanha_v1/j00014.mat,467,-6,1,1,1,0,333283.202135429,27.7251370620711,0,27.7250166785186,6.17035311734071e-11,0.000151423818518737,2.27373675443232e-13,9.07113582612161e-14,12,1
campanha_v1/j00014.mat,471,-6,1,1,1,0,333283.202135429,54.6459357664208,26.6666666666667,54.6459363122238,3.35376171278767e-12,4.10543989914913e-08,2.27373675443232e-13,8.80067262675237e-14,13,1
campanha_v1/j00014.mat,477,-6,1,1,1,0,333283.202135429,147.237940732313,106.666666666667,147.234813504393,1.4210854715202e-14,0.00312745038181106,2.27373675443232e-13,8.91927924051686e-14,13,1
campanha_v1/j00014.mat,483,-6,1,1,1,0,333283.202135429,265.49217181992,186.666666666667,265.491926170476,2.88622459265753e-11,0.00025797450534526,1.13686837721616e-13,1.43455414496769e-13,12,1
campanha_v1/j00019.mat,352,-6,1,1,1,0,333283.202135429,216.510568639629,0,216.51018966825,8.88178419700125e-15,0.000391592174953104,1.13686837721616e-13,2.86890101545387e-14,12,1
campanha_v1/j00019.mat,362,-6,1,1,1,0,333283.202135429,26.1982309323995,0,26.1980314013305,6.78355149830168e-11,0.00020936925276871,2.27373675443232e-13,5.45950924741464e-14,12,1
campanha_v1/j00019.mat,369,-6,1,1,1,0,333283.202135429,30.3758519231739,0,30.3758187248144,2.07421635423088e-10,6.05654608918371e-05,3.41060513164848e-13,1.31150809160259e-13,12,1
campanha_v1/j00019.mat,375,-6,1,1,1,0,333283.202135429,128.99413966937,80,128.994122803437,7.105427357601e-15,1.54498479147946e-05,3.41060513164848e-13,1.227399471574e-13,13,1
campanha_v1/j00019.mat,384,-6,1,1,1,0,333283.202135429,289.381588670318,200,289.381503172465,1.2946088645549e-11,9.46559369623401e-05,1.13686837721616e-13,1.03189810651242e-13,12,1
campanha_v1/j01625.mat,457,-6,1,1,1,0,333283.202135429,312.249243523084,0,312.247994123309,7.20401516218772e-12,0.0012669641658567,5.6843418860808e-14,3.12872648045734e-14,11,1
campanha_v1/j01625.mat,467,-6,1,1,1,0,333283.202135429,171.557492787397,80,171.557259586497,1.77109882315563e-10,0.000178080405273562,1.70530256582424e-13,2.4094560143203e-13,13,1
campanha_v1/j01625.mat,472,-6,1,1,1,0,333283.202135429,222.88704212854,146.666666666667,222.887045975426,1.4210854715202e-14,6.74300704162079e-06,1.13686837721616e-13,1.45249563272156e-13,13,1
campanha_v1/j01625.mat,476,-6,1,1,1,0,333283.202135429,320.515576617598,200,320.515633057257,2.8563817977556e-12,5.43599429079222e-05,1.13686837721616e-13,9.17217105862391e-14,12,1
campanha_v1/j01625.mat,479,-6,1,1,1,0,333283.202135429,349.162408156143,240,349.162598233446,1.94631866179407e-10,0.000188147053719945,1.13686837721616e-13,8.40287099709507e-14,11,1
evento_adiantado_corrigido_v1/j00078.mat,460,-6,1,1,1,0,333283.202135429,316.222851738933,189.475757544723,316.126990020653,9.80284298179868e-10,0.0964273834115437,1.13686837721616e-13,3.52911564977971e-13,11,1
