id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j01747,probabilities,carga_faixas,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",5.684341886080802e-14,0,1,4.224326328553888e-15,0,0,0,0,0,53.368026567030185,52.46812025953646,60,40.51277775401066,758.6663433123108,0,0,0.040512777754010666,400,0,57.99680387150246,0.014654397144958864,861,0,0,1.4551915228366852e-11,999849.6024252058,8030487551224027.0,0.0634986,0.0578336,0.06348105000000001,0.07203025,0.0837302,0.0326233,0.04233745,0.04776905,0.05525115,0.0677534,0.0230798,0.014852649999999998,0.01667815,0.02099465,0.0293307,0,05_resultados\revisao_operacional\campanha_v1\j01747.mat,campanha_v1
j01748,probabilities,limite_fonte,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",5.684341886080802e-14,0,1,2.792827697501505e-15,0,0,0,0,0,38.28756550316461,38.28756550316461,60,103.13406385996767,461.0530604605024,0,0,0.10313406385996766,200,0,58.17022017329526,7.105427357601002e-15,0,0,0,7.503331289626658e-12,999849.6064062867,8858386386927326.0,0.0539906,0.06199235,0.0648686,0.0735764,0.0914247,0.0343831,0.046123899999999995,0.04783585,0.0535071,0.0684763,0.0160065,0.015427050000000001,0.01694655,0.018884150000000002,0.028711,0,05_resultados\revisao_operacional\campanha_v1\j01748.mat,campanha_v1
j01749,probabilities,perda_fonte,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",350.0003493802395,350.0003493802395,1,14.583333580002614,14.583333580002613,150,150,150,150,49.58917219409136,49.58917219409136,60,49.451432078065444,2013.5550195078272,0,0.16666666666666669,0.049451432078065446,500,150,56.380304244646126,0.12110314087261997,58,0,0,1.887201506178826e-11,999849.6064062867,8858386386927326.0,0.0558733,0.05366495,0.06776615,0.10587915,0.1700303,0.0323357,0.0405528,0.054467650000000006,0.09305175,0.1567672,0.0173442,0.0126689,0.013625950000000001,0.015122,0.017974,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j01749.mat,evento_adiantado_corrigido_v1
j01750,probabilities,retorno_fonte,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",350.0003493794718,350.0003493794718,1,24.30555580223905,24.30555580223905,250,250,250,250,47.83224932726168,47.83224932726168,60,57.796815695504506,2013.5633064849958,0,0.16666666666666669,0.0577968156955045,400,250,56.96256244844116,0.12110311098855675,58,0,0,1.7962520360015333e-11,999849.6064062867,8858386386927326.0,0.0490222,0.05567355,0.06742904999999999,0.10672295,0.1695137,0.0320558,0.0422658,0.054341,0.09335280000000001,0.1563424,0.0141998,0.0129575,0.01413105,0.0151095,0.0166078,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j01750.mat,evento_adiantado_corrigido_v1
j01751,probabilities,multi_burst,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",5.684341886080802e-14,0,1,3.66614628315936e-15,0,0,0,0,0,53.02748402925924,52.048366300225815,60,43.68370811965978,2448.228627406518,0,0,0.04368370811965978,,,,0.09934538824832373,1857,0,0,4.172306944383308e-11,999849.6024252058,8030487551224027.0,0.0460919,0.05474405,0.062497250000000004,0.0716454,0.0906747,0.0274412,0.03887185,0.0464507,0.055605,0.0750683,0.0154655,0.01512485,0.0166501,0.017784099999999997,0.0202323,0,05_resultados\revisao_operacional\campanha_v1\j01751.mat,campanha_v1
j01752,probabilities,diploee_facility_stress,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",5.684341886080802e-14,0,1,4.494807304133985e-15,0,0,0,0,0,52.02479785255914,52.02479785255914,60,37.88221020034437,1040.3968339749426,0,0,0.037882210200344366,979,0,55.41074658169014,7.105427357601002e-15,0,0,0,1.0834355634870008e-10,999849.6024252058,8030487551224027.0,0.0476892,0.0735923,0.08341425,0.08834605,0.0942302,0.0294333,0.0580098,0.06751495,0.07067224999999999,0.0762741,0.015472,0.0150998,0.0174908,0.01868285,0.0219094,0,05_resultados\revisao_operacional\campanha_v1\j01752.mat,campanha_v1
j01753,probabilities,nvml_llama2_stress,mpc_qp_estocastico_3cen,"{""scenario_prob"": [0.5, 0.25, 0.25]}",5.684341886080802e-14,0,1,2.6647713742401615e-15,0,0,0,0,0,41.422555574062265,41.422555574062265,60,88.24286102320417,575.990189930315,0,0,0.08824286102320417,,,,7.105427357601002e-15,0,0,0,9.313458917858952e-05,999849.6024252058,8030487551224027.0,0.0468382,0.07757565,0.08915719999999999,0.0986024,0.1283262,0.0275502,0.06199355,0.0710404,0.0767722,0.0882238,0.0164014,0.015217950000000001,0.0181915,0.02409655,0.0456945,0,05_resultados\revisao_operacional\campanha_v1\j01753.mat,campanha_v1
