ctrl,n,mean,median,p95,p99,max,mean_ENS,mean_SOC_final,mean_throughput,mean_fallback_pct
heuristico,200,592.6122638850535,592.6122638850534,592.6122638850534,592.6122638850534,592.6122638850534,14.754610453615205,57.939785288551995,24.163699449912766,0.0
heuristico_foresight,200,415.3546976565325,374.3030752592914,570.3158264831245,583.4484719622067,590.950245598109,14.62947182704446,55.8140292296667,28.240475843765317,0.0
miope_qp,200,592.6116232891053,592.6116232891053,592.6116232891053,592.6116232891053,592.6116232891053,14.754610001373317,57.914766795104384,24.321344292977184,0.0
mpc_qp_estocastico_3cen,200,350.0086648825372,350.0000607784086,350.02733791448316,350.09879930927394,350.67279443008886,14.583858270905225,48.66873620512206,56.168980498088956,0.24083333333333334
mpc_qp_v5,200,359.05213335926436,350.1567297417405,384.8195549490357,528.2132215897018,580.3238658107574,14.591373109643088,54.99849939414127,31.473739245228472,1.82125
