id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,level,variant,weight,factor,forecast_shift,forecast_load_factor,event_mode,delay,trial
j00011,principal,perda_fonte,heuristico,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.97e-05,7.8e-06,8.8e-06,1.735e-05,0.0004073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00011.mat,campanha_v1,,,,,,,,,
j00012,principal,perda_fonte,heuristico_foresight,{},362.4661767623983,362.4661767623983,1,14.59213408735375,14.59213408735375,150,150,150,150,57.54164304310025,56.110329959008375,60,26.00915945308827,850,0,0,0.02600915945308827,500,150,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.4e-05,8.7e-06,1e-05,3.12e-05,0.0003425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00012.mat,campanha_v1,,,,,,,,,
j00013,principal,perda_fonte,miope_qp,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012145,0.0006015,0.0008999500000000001,0.00118525,0.0095587,0.0010622,0.0005324500000000001,0.0007703,0.0010257,0.0084245,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00013.mat,campanha_v1,,,,,,,,,
j00014,principal,perda_fonte,mpc_qp_v5,{},350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0258225,0.024389,0.0309332,0.039122199999999996,0.0522156,0.015674,0.020345099999999998,0.02646495,0.03468725,0.045637,0.0050517,0.0037892,0.004699,0.0052662,0.0076138,0,05_resultados\revisao_operacional\campanha_v1\j00014.mat,campanha_v1,,,,,,,,,
j00015,principal,perda_fonte,mpc_qp_estocastico_3cen,{},350.0000079452134,350.0000079452134,1,14.58333333895582,14.583333338955818,150,150,150,150,49.403721718446974,49.403721718446974,60,50.33232183737638,831.9827192014416,0,0,0.050332321837376376,500,150,56.199886737852154,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.963796,0.05317085,0.08752165,0.1191224,0.963796,0.2157271,0.04092425,0.06881005000000001,0.10546610000000001,0.2157271,0.1108474,0.01187005,0.0149429,0.019186250000000002,0.1108474,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00015.mat,evento_adiantado_corrigido_v1,,,,,,,,,
j00016,principal,retorno_fonte,heuristico,{},592.6122638850534,592.6122638850534,1,24.476832675837425,24.476832675837425,250,250,250,250,55.60060400200221,54.16472535895272,60,35.27481056102387,850,0,0,0.03527481056102387,400,250,60,nan,0,nan,nan,nan,nan,nan,4.08e-05,8.2e-06,1.115e-05,1.5700000000000002e-05,5.81e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00016.mat,campanha_v1,,,,,,,,,
j00017,principal,retorno_fonte,heuristico_foresight,{},362.4661767623983,362.4661767623983,1,24.314356309575967,24.314356309575967,250,250,250,250,55.20246175655048,53.7711486724586,60,37.12027056419937,850,0,0,0.03712027056419937,400,250,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.63e-05,8.9e-06,1.15e-05,1.22e-05,4.63e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00017.mat,campanha_v1,,,,,,,,,
j00018,principal,retorno_fonte,miope_qp,{},592.6116232812492,592.6116232812492,1,24.47683222358999,24.47683222358999,250,250,250,250,55.57559206109521,54.13583744149566,60,35.432428045524624,1150.000811943182,0,0,0.03543242804552462,400,250,59.999975849857414,nan,0,nan,nan,nan,nan,nan,0.0011919,0.0005839,0.0007459999999999999,0.00090465,0.0011919,0.0010564,0.0005193,0.00065835,0.00079975,0.0010564,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00018.mat,campanha_v1,,,,,,,,,
j00019,principal,retorno_fonte,mpc_qp_v5,{},350.0896660016482,350.0896660016482,1,24.30561885715737,24.305618857157363,250,250,250,250,54.9158703479587,53.522115505168735,60,38.10550315460398,1598.2471837274877,0,2.3333333333333335,0.03810550315460398,400,250,59.5022901787971,0.014570942238293583,733,0,0,0.002188635578022513,333283.200808402,4015243775612013.0,0.0207974,0.024809499999999998,0.030685749999999998,0.039054,0.0978316,0.0151782,0.02062995,0.02622975,0.03448195,0.0934001,0.003911,0.00393465,0.004780049999999999,0.00511765,0.006216,0,05_resultados\revisao_operacional\campanha_v1\j00019.mat,campanha_v1,,,,,,,,,
j00020,principal,retorno_fonte,mpc_qp_estocastico_3cen,{},350.0000079439794,350.0000079439794,1,24.305555561188086,24.305555561188086,250,250,250,250,47.647629783195015,47.647629783195015,60,58.67375852982213,831.9828001877504,0,0,0.05867375852982213,400,250,56.78297585511572,7.105427357601002e-15,0,0,0,5.684341886080801e-13,666566.4042708572,8858386386927326.0,0.0591133,0.052812399999999995,0.06619195,0.1143206,0.1365542,0.0331137,0.0409693,0.05311135,0.10084055,0.1235063,0.0117138,0.011536000000000001,0.01358205,0.01484885,0.0171438,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00020.mat,evento_adiantado_corrigido_v1,,,,,,,,,
