id,group,scenario,ctrl,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign,recovery_event_starts_s,recovery_s,SOC_at_events
j00557,windows,diploee_facility_window03,heuristico,{},5.375759423768699,5.375759423768699,1,0.06224877800550475,0.06224151444642896,44,0,0,0,59.62152665571705,59.62152665571705,60,1.7977483853440308,300,0,0,0.0017977483853440308,nan,0,nan,nan,nan,nan,nan,4.97e-05,8.2e-06,1.01e-05,2.355e-05,5.52e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00557.mat,campanha_v1,1097,45,60
j00558,windows,diploee_facility_window03,heuristico_foresight,{},5.375759423757302,5.375759423757302,1,0.06223126626064802,0.06223089303626935,44,0,0,0,59.621487661533635,59.621487661533635,60,1.7979336077152948,300,0,0,0.0017979336077152948,nan,0,nan,nan,nan,nan,nan,4.81e-05,9e-06,1.02e-05,1.5799999999999998e-05,4.81e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00558.mat,campanha_v1,1097,45,59.99996469249972
j00559,windows,diploee_facility_window03,miope_qp,{},7.17000283714242e-05,0,1,6.956306931025811e-07,0,0,0,0,0,59.51907441109227,59.49504077973489,60,4.7728262803162345,694.5785413700206,0,0,0.004772826280316235,nan,0,nan,nan,nan,nan,nan,0.001276,0.0005915,0.0007298000000000001,0.0008826000000000001,0.001276,0.0011284,0.0005265,0.0006478,0.0007913,0.0011548,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00559.mat,campanha_v1,1097,0,59.887315698689406
j00560,windows,diploee_facility_window03,mpc_qp_v5,{},0.014006582461945527,0,1,3.890717355328242e-06,0,0,0,0,0,59.15261175766152,59.14823104512578,60,4.068958917419432,324.68185694348,0,0,0.004068958917419432,0.0005922770446815662,73,0,0,1.1368683772161603e-12,333283.200808402,4015243775612013.0,0.0200146,0.01921035,0.02911085,0.03406805,0.0353966,0.0135237,0.014779299999999999,0.024468,0.02937925,0.0310575,0.0045232,0.004086350000000001,0.0047192499999999995,0.005094,0.0054158,0,05_resultados\revisao_operacional\campanha_v1\j00560.mat,campanha_v1,1097,0,59.80062200196956
j00561,windows,diploee_facility_window03,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.648553918339281e-15,0,0,0,0,0,54.04123566861288,54.04123566861288,60,29.657624971473446,1690.7828500365126,0,0,0.029657624971473447,0.024909522773718606,4984,0,0,1.34718902700115e-10,666566.4042708572,8858386386927326.0,0.0535155,0.05593095,0.06673884999999999,0.0696132,0.0724197,0.0385901,0.043321700000000005,0.05363755,0.05647835,0.0587418,0.0122002,0.0121573,0.01347025,0.01449895,0.0200201,0,05_resultados\revisao_operacional\campanha_v1\j00561.mat,campanha_v1,1097,0,55.633115980337365
j00562,windows,diploee_facility_window04,heuristico,{},5.619349331267912,5.619349331267912,1,0.16218192581066804,0.1426558077623548,176,0,0,0,59.505957668303516,59.058711601808966,60,11.364042707866757,1437.8441086808243,0,0,0.011364042707866756,nan,0,nan,nan,nan,nan,nan,4.52e-05,7.7e-06,9e-06,9.5e-06,4.52e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00562.mat,campanha_v1,,,
j00563,windows,diploee_facility_window04,heuristico_foresight,{},5.619341098712255,5.619341098712255,1,0.1597306467991402,0.1402647284409495,174,0,0,0,59.508522851323534,59.057785272151875,60,11.442369446933313,1432.297248178836,0,0,0.011442369446933312,nan,0,nan,nan,nan,nan,nan,4.58e-05,8.9e-06,1.1249999999999999e-05,2.49e-05,8.27e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00563.mat,campanha_v1,,,
j00564,windows,diploee_facility_window04,miope_qp,{},6.890439951234839e-05,0,1,3.562849064605703e-06,0,0,0,0,0,59.76011983866292,59.02530954134786,60,14.13033373865537,1706.2860146478442,0,0,0.01413033373865537,nan,0,nan,nan,nan,nan,nan,0.0012881,0.0005656,0.0006778,0.0008627999999999999,0.0012881,0.0011437,0.0005034,0.000601,0.0007709500000000001,0.0011437,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00564.mat,campanha_v1,,,
j00565,windows,diploee_facility_window04,mpc_qp_v5,{},1.3992170602585752,1.3992170602585752,1,0.0004898471664748214,0.000388671405627382,1,0,0,0,58.83748426311577,57.96385171511172,60,18.36494504995294,1132.8009902939518,0,0,0.01836494504995294,0.01415755456618939,3974,0,0,1.0231815394945443e-12,333283.2021354289,4732855740531790.0,0.0321194,0.026054050000000002,0.033987100000000006,0.03887715,0.0477615,0.0256306,0.02139135,0.0288681,0.03347125,0.0423861,0.0043087,0.00428745,0.00523675,0.0060352,0.0121067,0,05_resultados\revisao_operacional\campanha_v1\j00565.mat,campanha_v1,,,
j00566,windows,diploee_facility_window04,mpc_qp_estocastico_3cen,{},5.684341886080802e-14,0,1,4.1926570240294024e-15,0,0,0,0,0,49.60431054089326,49.601884529200646,60,49.897612542247266,2421.2365071279746,0,0,0.04989761254224727,0.02295312766847246,4698,0,0,2.162323653465137e-10,666566.4042708572,9575998351847100.0,0.0609361,0.057374800000000004,0.0657787,0.07052459999999999,0.0840219,0.0451841,0.04462435,0.05188315,0.054786100000000004,0.0671964,0.0129516,0.01234765,0.0144482,0.01677005,0.0313709,0,05_resultados\revisao_operacional\campanha_v1\j00566.mat,campanha_v1,,,
j00567,windows,diploee_facility_window05,heuristico,{},4.320998020470242,4.320998020470242,1,0.15452438453781958,0.1406590963962417,189,0,0,0,57.647319364899964,57.647319364899964,60,13.39070348115271,886.8187431442357,0,0,0.01339070348115271,nan,0,nan,nan,nan,nan,nan,4.6e-05,7.7e-06,9.8e-06,1.08e-05,4.6e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00567.mat,campanha_v1,,,
