id,group,scenario,ctrl,forecast_shift,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00216,timing,perda_fonte,miope_qp,-17,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012433,0.00060695,0.00071745,0.00085395,0.0012433,0.0011027,0.0005403999999999999,0.00063335,0.0007546499999999999,0.0011027,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00216.mat,campanha_v1
j00217,timing,perda_fonte,mpc_qp_v5,-17,{},350.0000137305979,350.0000137305979,1,14.583333343047236,14.583333343047235,150,150,150,150,56.84528887312141,55.45154276358425,60,28.940677712643534,1687.0879707286786,0,2.083333333333333,0.028940677712643536,500,150,59.09254982247555,0.014570785787384466,733,0,0,0.0034725146948630936,333283.200808402,4015243775612013.0,0.0206751,0.026714799999999997,0.03395075,0.04099865,0.0515347,0.0149321,0.0217672,0.028867249999999997,0.03611705,0.0462475,0.0041974,0.004652750000000001,0.00515615,0.0053555,0.0060917,0,05_resultados\revisao_operacional\campanha_v1\j00217.mat,campanha_v1
j00218,timing,perda_fonte,mpc_qp_estocastico_3cen,-17,{},350.0000000256726,350.0000000256726,1,14.583333333363303,14.5833333333633,150,150,150,150,49.23600211945714,49.23600211945714,60,51.12898993257819,1921.6357648891699,0,0.16666666666666669,0.051128989932578195,500,150,56.0321671176879,0.12939660814421217,116,0,0,3.637978807091713e-12,666566.4042708572,8858386386927326.0,0.0468815,0.053839200000000004,0.06618365,0.11030134999999999,0.1491569,0.0329555,0.04162305,0.054027149999999996,0.0978212,0.1370845,0.0114419,0.01178195,0.01273675,0.0134211,0.0175581,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00218.mat,evento_adiantado_corrigido_v1
j00219,timing,perda_fonte,heuristico,-16,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.13e-05,8.1e-06,1.31e-05,1.49e-05,4.29e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00219.mat,campanha_v1
j00220,timing,perda_fonte,heuristico_foresight,-16,{},350.00418193641667,350.00418193641667,1,14.583336285657406,14.583336285657406,150,150,150,150,57.16737403725229,55.73606095316041,60,27.786937230866048,850,0,0,0.02778693723086605,500,150,59.29999534140243,nan,0,nan,nan,nan,nan,nan,5.57e-05,9.1e-06,1.18e-05,2.315e-05,5.57e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00220.mat,campanha_v1
j00221,timing,perda_fonte,miope_qp,-16,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012908,0.00061315,0.0006889999999999999,0.0008439,0.0012908,0.0011516,0.00054505,0.0006131,0.00075165,0.0011516,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00221.mat,campanha_v1
j00222,timing,perda_fonte,mpc_qp_v5,-16,{},350.00003118956744,350.00003118956744,1,14.583333355372972,14.583333355372972,150,150,150,150,56.88179331235866,55.488047368991836,60,28.76727996237632,1548.9798732203549,0,2.3333333333333335,0.02876727996237632,500,150,59.12905443185736,0.014570782827348694,733,0,0,0.0016238240433494866,333283.200808402,4015243775612013.0,0.0228975,0.0263554,0.03328805,0.041055999999999995,0.1028003,0.0159109,0.02140465,0.0283324,0.036084950000000005,0.0977642,0.0052913,0.00461045,0.0050701,0.00529845,0.0057045,0,05_resultados\revisao_operacional\campanha_v1\j00222.mat,campanha_v1
j00223,timing,perda_fonte,mpc_qp_estocastico_3cen,-16,{},350.00000006343487,350.00000006343487,1,14.58333333339009,14.58333333339009,150,150,150,150,49.26863206833691,49.26863206833691,60,50.97399767539954,2069.320007626413,0,0.16666666666666669,0.050973997675399535,500,150,56.06479707091052,0.13063491747546152,116,0,0,0.00048680082556984416,666566.4042708572,8858386386927326.0,0.0484503,0.0538409,0.06811105,0.10931715,0.1500083,0.0340342,0.0416175,0.0540287,0.09719375,0.1371975,0.0114402,0.0118619,0.01289585,0.0144005,0.031118,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00223.mat,evento_adiantado_corrigido_v1
j00224,timing,perda_fonte,heuristico,-15,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.1e-05,8.1e-06,1.07e-05,1.81e-05,4.1e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00224.mat,campanha_v1
j00225,timing,perda_fonte,heuristico_foresight,-15,{},350.00689484752286,350.00689484752286,1,14.583338200892827,14.583338200892827,150,150,150,150,57.190765850117785,55.75945276602591,60,27.675826119754937,850,0,0,0.027675826119754936,500,150,59.32338675106047,nan,0,nan,nan,nan,nan,nan,5.07e-05,9.3e-06,1.21e-05,1.7650000000000002e-05,6.37e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00225.mat,campanha_v1
