id,ctrl,step_0based,time_s,exitflag,cause,command,P_raw,eq_residual,source
j00019,mpc_qp_v5,370,370,-6,nao_convexo,13.333333333333334,1.5987211554602254e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,371,371,-6,nao_convexo,26.666666666666668,2.4868995751603507e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,372,372,-6,nao_convexo,40.0,5.3290705182007514e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,373,373,-6,nao_convexo,53.333333333333336,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,374,374,-6,nao_convexo,66.66666666666666,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,375,375,-6,nao_convexo,80.0,4.263256414560601e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,376,376,-6,nao_convexo,93.33333333333333,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,377,377,-6,nao_convexo,106.66666666666667,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,378,378,-6,nao_convexo,120.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,380,380,-6,nao_convexo,146.66666666666666,0.0,1.8189894035458565e-12,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,381,381,-6,nao_convexo,160.0,0.0,1.4779288903810084e-12,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,383,383,-6,nao_convexo,186.66666666666666,0.0,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00019,mpc_qp_v5,384,384,-6,nao_convexo,200.0,2.842170943040401e-14,1.0760629265860189e-05,05_resultados\revisao_operacional\campanha_v1\j00019.mat
j00077,mpc_qp_v5,456,456,-6,nao_convexo,127.1124705691391,5.684341886080802e-14,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,457,457,-6,nao_convexo,7.112470569139106,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,459,459,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,460,460,-6,nao_convexo,0.0,4.263256414560601e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,464,464,-6,nao_convexo,0.0,7.105427357601002e-15,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,465,465,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,466,466,-6,nao_convexo,0.0,1.5987211554602254e-14,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,467,467,-6,nao_convexo,0.0,0.0,2.2737367544323206e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
j00077,mpc_qp_v5,469,469,-6,nao_convexo,0.0,8.881784197001252e-15,1.1368683772161603e-13,05_resultados\revisao_operacional\campanha_v1\j00077.mat
