id,group,scenario,ctrl,variant,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00108,ablacao,retorno_fonte,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",592.5598319944525,592.5598319944525,1,24.476795660488364,24.476795660488364,250,250,250,250,55.44836298947232,54.05461054722797,60,35.576139070373976,849.9982304528289,0,0,0.03557613907037398,400,250,59.99874809492578,0.014570899060018405,733,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.0218424,0.024254150000000002,0.02573195,0.026812,0.0318464,0.0154475,0.020014999999999998,0.0214244,0.022433349999999998,0.0273424,0.004847,0.0036823999999999997,0.0047499,0.00512155,0.0088855,0,05_resultados\revisao_operacional\campanha_v1\j00108.mat,campanha_v1
j00109,ablacao,retorno_fonte,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",592.5598319944525,592.5598319944525,1,24.476795660488364,24.476795660488364,250,250,250,250,55.44836298947232,54.05461054722797,60,35.576139070373976,849.9982304528289,0,0,0.03557613907037398,400,250,59.99874809492578,0.014570899060018405,733,0,0,4.547473508864641e-13,333283.200808402,4015243775612013.0,0.0211004,0.02468375,0.0262408,0.0352464,0.0409501,0.0151792,0.020315899999999998,0.02172375,0.029622,0.0357942,0.0043707,0.0039188,0.004931349999999999,0.00541945,0.0093576,0,05_resultados\revisao_operacional\campanha_v1\j00109.mat,campanha_v1
j00110,ablacao,retorno_fonte,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",592.611556266613,592.611556266613,1,24.476832176280123,24.476832176280123,250,250,250,250,52.75403262115418,52.240334320000535,60,39.562087249226636,846.4898976978003,0,0,0.039562087249226635,400,250,59.99998634914018,7.105427357601002e-15,0,0,1.437292826422798e-07,9.754558050190099e-08,33249.70894497384,4393469340288.3667,0.0026687,0.00131255,0.00190285,0.0021087,0.0026687,0.0017377,0.0010442,0.0015129,0.00171415,0.0022295,0.0003311,0.0001543,0.0002431,0.00029675000000000003,0.0004237,0,05_resultados\revisao_operacional\campanha_v1\j00110.mat,campanha_v1
j00111,ablacao,retorno_fonte,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",351.63470855286425,351.63470855286425,1,24.30670961311028,24.30670961311028,250,250,250,250,55.09446609969973,53.7007120612186,60,37.25716528016647,1325.2566351090181,0,2.9166666666666665,0.03725716528016647,400,250,59.68065713415297,0.014570927756487606,733,0,0,0.005196807693835126,333283.200808402,4015243775612013.0,0.0208863,0.0244615,0.02837365,0.0326354,0.0365358,0.0147097,0.02028175,0.0240188,0.02779155,0.0316892,0.004269,0.0037259,0.0047014,0.005095499999999999,0.0063742,0,05_resultados\revisao_operacional\campanha_v1\j00111.mat,campanha_v1
j00127,ablacao,multi_burst,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",0.018156780309027454,0,1,1.580937663698325e-05,0,0,0,0,0,58.93780138418609,57.868900645312216,60,21.955742797713445,1159.684896590849,0,0,0.021955742797713444,,,,0.04372173386293099,1983,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0197973,0.021414250000000003,0.027643300000000003,0.02963465,0.0310409,0.0135886,0.0174177,0.02350985,0.025362500000000003,0.026329,0.004321,0.0037176500000000003,0.00422995,0.00460505,0.0052208,0,05_resultados\revisao_operacional\campanha_v1\j00127.mat,campanha_v1
j00128,ablacao,multi_burst,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",42.80832197864356,42.80832197864356,1,0.024861084145629896,0.024861084145625097,3,0,0,0,59.24121125595585,58.17434114276591,60,23.377061527961175,2392.599183264435,0,0,0.023377061527961176,,,,0.09710758010534448,1790,0,0,3.410605131648481e-13,333283.200808402,4015243775612013.0,0.0198155,0.02149945,0.02712055,0.0282964,0.0328337,0.0138397,0.01748115,0.022514,0.024011650000000002,0.0269546,0.0043883,0.00377095,0.00448875,0.0051420500000000004,0.0058326,0,05_resultados\revisao_operacional\campanha_v1\j00128.mat,campanha_v1
j00129,ablacao,multi_burst,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",27.851351250940425,27.851351250940425,1,0.008820457257290411,0.008820457257286713,2,0,0,0,53.873586434322185,53.63552952760246,60,33.02391249874826,1583.0188585227468,0,0,0.03302391249874826,,,,0.0006964615937476992,1,0,0,2.2737367544323206e-13,33249.70894497384,4393469340288.3667,0.0026541,0.00129475,0.00155765,0.0017354,0.0026541,0.0017426,0.00102935,0.0012633499999999999,0.0013932,0.0017683,0.0003208,0.0001522,0.00017779999999999998,0.00023434999999999998,0.0004303,0,05_resultados\revisao_operacional\campanha_v1\j00129.mat,campanha_v1
j00130,ablacao,multi_burst,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",0.21889606854796284,0,1,0.00026580682625447,0,0,0,0,0,58.95173178565209,57.88281567076861,60,21.890381119427957,1161.0099743544142,0,0,0.021890381119427958,,,,0.04367814222889166,1983,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0203864,0.0208787,0.02478625,0.02644295,0.0335608,0.0136947,0.01688395,0.02081775,0.02217665,0.0287516,0.0044547,0.00376465,0.00433695,0.00465385,0.0057534,0,05_resultados\revisao_operacional\campanha_v1\j00130.mat,campanha_v1
j00146,ablacao,diploee_facility_stress,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",0.0022154515462489144,0,1,6.154032119793264e-07,0,0,0,0,0,58.73566828778374,58.73566828778374,60.00001632939784,6.0057391528575845,179.57627151875275,0,0,0.006005739152857585,979,0,59.89664270420349,3.395371521719426e-06,842,0,0,6.821210263296962e-13,333283.200808402,4015243775612013.0,0.0199052,0.018803849999999997,0.0299609,0.031208399999999997,0.0343918,0.0140132,0.01451195,0.025589,0.0269313,0.0299913,0.004259,0.00401845,0.004751699999999999,0.0051602,0.0058733,0,05_resultados\revisao_operacional\campanha_v1\j00146.mat,campanha_v1
j00147,ablacao,diploee_facility_stress,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",0.04474510499978379,0,1,0.0005212949023657356,0,0,0,0,0,59.11012486435159,59.11012486435159,60,4.226906894329836,195.82581243195852,0,0,0.004226906894329836,979,0,59.99523667876246,7.105427357601002e-15,0,0,0,6.821210263296962e-13,333283.200808402,4015243775612013.0,0.0201571,0.01841305,0.0273956,0.0305374,0.0406727,0.013593,0.0142656,0.02286685,0.02540245,0.0351636,0.004454,0.00396685,0.0044976,0.0049139000000000006,0.0113077,0,05_resultados\revisao_operacional\campanha_v1\j00147.mat,campanha_v1
j00148,ablacao,diploee_facility_stress,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",0.03820119275286893,0,1,0.000442312472683826,0,0,0,0,0,59.03234007763964,59.03234007763964,60.000038967271095,4.59677481724054,152.23353016429363,0,0,0.00459677481724054,979,0,59.99899873332738,4.581437451633974e-10,2,0,0,2.2737367544323206e-13,33249.70894497384,4393469340288.3667,0.0029398,0.0013033,0.00195115,0.00267985,0.0054103,0.0019312,0.0010358,0.0015304,0.0020604,0.0045748,0.0003496,0.0001539,0.0002617,0.00034250000000000003,0.0005252,0,05_resultados\revisao_operacional\campanha_v1\j00148.mat,campanha_v1
j00149,ablacao,diploee_facility_stress,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",0.0255908930887756,0,1,7.108581418395116e-06,0,0,0,0,0,58.73673093633405,58.73673093633405,60.00001632939784,6.000691572243265,179.5593858914154,0,0,0.006000691572243265,979,0,59.896925677263404,3.395371521719426e-06,842,0,0,2.2737367544323206e-13,333283.200808402,4015243775612013.0,0.0196042,0.0188115,0.0214939,0.0223872,0.0255541,0.0138347,0.01453255,0.017099,0.01779935,0.0205487,0.0040344,0.00398185,0.004752650000000001,0.0052127,0.0062587,0,05_resultados\revisao_operacional\campanha_v1\j00149.mat,campanha_v1
j00165,ablacao,nvml_llama2_stress,mpc_qp_v5,load_only,"{""mpc_foresight_grid"": 0}",0.006557596080881467,0,1,3.533636677420038e-05,0,0,0,0,0,51.91455751499581,51.91455751499581,60,38.40585180376962,237.20969702497717,0,0,0.038405851803769625,,,,7.105427357601002e-15,0,0,0,2.0236257114447653e-11,333283.200808402,4015243775612013.0,0.0206587,0.0302011,0.03408155,0.035514649999999995,0.0377295,0.0131906,0.02575115,0.02972015,0.030799399999999998,0.0330001,0.0044688,0.00394885,0.0049114,0.00519415,0.0056834,0,05_resultados\revisao_operacional\campanha_v1\j00165.mat,campanha_v1
j00166,ablacao,nvml_llama2_stress,mpc_qp_v5,no_preview,"{""mpc_foresight_grid"": 0, ""mpc_foresight_load"": 0}",1.4962221001080138,1.4962221001080138,1,0.003722434614930332,0.0006953595504511078,2,0,0,0,52.06659790409345,52.06659790409345,60,37.683659955556,2369.7049756670294,0,0,0.037683659955556004,,,,0.006659435013780524,48,0,0,1.8189894035458565e-12,333283.200808402,4015243775612013.0,0.0200476,0.0260158,0.0297176,0.031510399999999994,0.0330176,0.0133695,0.0216679,0.0251403,0.0269005,0.0286854,0.0040967,0.0038992000000000002,0.00483485,0.005210350000000001,0.0104951,0,05_resultados\revisao_operacional\campanha_v1\j00166.mat,campanha_v1
j00167,ablacao,nvml_llama2_stress,mpc_qp_v5,horizon1,"{""Nc_mpc"": 1, ""Np_mpc"": 1}",1.4015706136239032,1.4015706136239032,1,0.0006651762131981671,0.0003893251704510842,1,0,0,0,48.85602899293204,48.85602899293204,60,52.933862283572815,260.16784052138746,0,0,0.052933862283572816,,,,7.105427357601002e-15,0,0,0,2.2737367544323206e-13,33249.70894497384,4393469340288.3667,0.0694914,0.0014639499999999999,0.0020745,0.0025603500000000003,0.0694914,0.0273991,0.00114025,0.0016233,0.0019858999999999996,0.0273991,0.0356456,0.0001858,0.00028905,0.00039505,0.0356456,0,05_resultados\revisao_operacional\campanha_v1\j00167.mat,campanha_v1
j00168,ablacao,nvml_llama2_stress,mpc_qp_v5,no_event,"{""disable_event_constraint"": 1}",0.08263427135054258,0,1,0.00037879571036656605,0,0,0,0,0,51.9181604042231,51.9181604042231,60,38.388738079940865,237.13125783528358,0,0,0.038388738079940865,,,,7.105427357601002e-15,0,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.021509,0.02126305,0.02291245,0.02392375,0.0279476,0.0145805,0.01710615,0.0181206,0.0189148,0.0224434,0.0052769,0.003895,0.00489525,0.005245649999999999,0.0097663,0,05_resultados\revisao_operacional\campanha_v1\j00168.mat,campanha_v1
