id,group,scenario,ctrl,forecast_load_factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00407,magnitude,perda_fonte,heuristico,0.8,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.96e-05,7.9e-06,1.04e-05,1.78e-05,3.96e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00407.mat,campanha_v1
j00408,magnitude,perda_fonte,heuristico_foresight,0.8,{},362.4661767623983,362.4661767623983,1,14.59213408735375,14.59213408735375,150,150,150,150,57.54164304310025,56.110329959008375,60,26.00915945308827,850,0,0,0.02600915945308827,500,150,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.27e-05,8.8e-06,1.1e-05,1.47e-05,4.27e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00408.mat,campanha_v1
j00409,magnitude,perda_fonte,miope_qp,0.8,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0012117,0.0005814500000000001,0.00069315,0.0009074,0.0012457,0.0010772,0.0005173,0.0006158,0.00080935,0.0011733,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00409.mat,campanha_v1
j00410,magnitude,perda_fonte,mpc_qp_v5,0.8,{},350.0284008865277,350.0284008865277,1,14.588411382289273,14.58335338353518,150,150,150,150,57.04279545853822,55.64734957063903,60.06625344895481,28.682947826495624,1832.4301556731048,0,0.33333333333333337,0.028682947826495626,500,150,59.28830223744733,0.11692923455369453,852,0,0,1.4925139225852035e-05,333283.200808402,4015243775612013.0,0.0198745,0.02113745,0.03445465,0.04031815,0.1030511,0.0141596,0.01692585,0.0295594,0.0355783,0.0978636,0.0038315,0.00406145,0.0048999000000000004,0.00538615,0.0058402,0,05_resultados\revisao_operacional\campanha_v1\j00410.mat,campanha_v1
j00411,magnitude,perda_fonte,mpc_qp_estocastico_3cen,0.8,{},350.00089353422436,350.00089353422436,1,14.588264391993922,14.583333964181879,150,150,150,150,56.81437009644379,55.41899813894281,60.04823609007993,29.58681736043249,1544.1531549935337,0,0.08333333333333334,0.02958681736043249,500,150,59.059968216335584,0.1169899275556574,852,0,0,0.08704435984344627,666566.4016168036,8030487551224027.0,0.0413031,0.0441061,0.06934989999999999,0.10129075,0.2847659,0.0260244,0.0329255,0.05748025,0.09002379999999999,0.2738529,0.0110565,0.010957399999999999,0.012027699999999999,0.01384525,0.0246364,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00411.mat,evento_adiantado_corrigido_v1
j00412,magnitude,perda_fonte,heuristico,0.9,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,3.92e-05,7.9e-06,1.01e-05,1.465e-05,4.25e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00412.mat,campanha_v1
j00413,magnitude,perda_fonte,heuristico_foresight,0.9,{},362.4661767623983,362.4661767623983,1,14.59213408735375,14.59213408735375,150,150,150,150,57.54164304310025,56.110329959008375,60,26.00915945308827,850,0,0,0.02600915945308827,500,150,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.32e-05,8.7e-06,1.1e-05,1.27e-05,5.1e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00413.mat,campanha_v1
j00414,magnitude,perda_fonte,miope_qp,0.9,{},592.6116232891053,592.6116232891053,1,14.754610001373313,14.75461000137331,150,150,150,150,57.9147667951044,56.47501255161039,60,24.32134429297718,1150.0008251042025,0,0,0.02432134429297718,500,150,59.99996967342122,nan,0,nan,nan,nan,nan,nan,0.0011943,0.00057515,0.00068455,0.00085765,0.0012452,0.0010567,0.00051185,0.00061085,0.0007822,0.0011744,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00414.mat,campanha_v1
j00415,magnitude,perda_fonte,mpc_qp_v5,0.9,{},350.1800440329546,350.1800440329546,1,14.586946204783946,14.58346043913635,150,150,150,150,57.104657913256766,55.709612878131836,60.03246902471363,28.046798590151166,1834.6681795105892,0,1.3333333333333335,0.028046798590151165,500,150,59.350568120329456,0.117042825874627,853,0,0,0.0005022523047841787,333283.200808402,4015243775612013.0,0.0191648,0.020930749999999998,0.030602650000000002,0.03984745,0.1150049,0.0135831,0.0167654,0.0262856,0.03555295,0.1106545,0.0039315,0.003922800000000001,0.0046019500000000005,0.004938100000000001,0.0053033,0,05_resultados\revisao_operacional\campanha_v1\j00415.mat,campanha_v1
j00416,magnitude,perda_fonte,mpc_qp_estocastico_3cen,0.9,{},350.0002619216094,350.0002619216094,1,14.583333518253776,14.583333518253772,150,150,150,150,54.827580592308166,54.827580592308166,60,24.568992186535688,1894.0802889208658,0,0.16666666666666669,0.024568992186535688,500,150,58.78873063162259,0.1238852124396459,58,0,0,0.048880821517400364,666566.4042708572,8858386386927326.0,0.0493418,0.051666550000000006,0.060794,0.1055705,0.1734669,0.0345625,0.04028845,0.048905050000000005,0.09412525,0.1617603,0.0122204,0.01121015,0.01220585,0.0135835,0.0151283,0,05_resultados\revisao_operacional\evento_adiantado_corrigido_v1\j00416.mat,evento_adiantado_corrigido_v1
j00417,magnitude,perda_fonte,heuristico,1,{},592.6122638850534,592.6122638850534,1,14.754610453615202,14.754610453615202,150,150,150,150,57.93978528855198,56.5039066455025,60,24.16369944991276,850,0,0,0.02416369944991276,500,150,60,nan,0,nan,nan,nan,nan,nan,4.27e-05,8e-06,9.149999999999999e-06,1.565e-05,4.27e-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00417.mat,campanha_v1
j00418,magnitude,perda_fonte,heuristico_foresight,1,{},362.4661767623983,362.4661767623983,1,14.59213408735375,14.59213408735375,150,150,150,150,57.54164304310025,56.110329959008375,60,26.00915945308827,850,0,0,0.02600915945308827,500,150,59.672412178472214,nan,0,nan,nan,nan,nan,nan,4.67e-05,8.9e-06,1.23e-05,2.17e-05,0.0001063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,05_resultados\revisao_operacional\campanha_v1\j00418.mat,campanha_v1
