id,group,scenario,ctrl,weight,factor,params_json,P_raw_kW,P_filtered_kW,filter_kW,E_raw_kWh,E_filtered_kWh,T_gt1_s,T_gt50_s,T_gt100_s,T_gt350_s,SOC_final,SOC_min,SOC_max,throughput_kWh,u_total_variation,source_violation_kW,fallback_pct,EFC,recovery_event_starts_s,recovery_s,SOC_at_events,soc_prediction_max_error_pp,soc_sign_mismatches,soc_prediction_violation_pp,ineq_residual,eq_residual,hess_cond,constraint_gram_cond,cycle_first_s,cycle_p50_s,cycle_p95_s,cycle_p99_s,cycle_max_s,qp_first_s,qp_p50_s,qp_p95_s,qp_p99_s,qp_max_s,assembly_first_s,assembly_p50_s,assembly_p95_s,assembly_p99_s,assembly_max_s,overruns,evidence,campaign
j00179,pesos,perda_fonte,mpc_qp_v5,slack_event,10,"{""w_mpc_slack_event"": 10000000000.0}",350.27144693213233,350.27144693213233,1,14.583524967016299,14.583524967016299,150,150,150,150,57.29581221264444,55.902068156358474,60,26.800671290381104,1491.1730266305296,0,2.666666666666667,0.026800671290381103,500,150,59.543034954434674,0.014570749255760518,733,0,0,0.006660259366185528,3332832.006730473,4015243775612013.0,0.0209848,0.025063000000000002,0.0318892,0.039759749999999996,0.0464053,0.0153339,0.020905649999999998,0.02736965,0.034725450000000005,0.0420143,0.0036588,0.00389785,0.00467355,0.004989749999999999,0.0065227,0,05_resultados\revisao_operacional\campanha_v1\j00179.mat,campanha_v1
j00180,pesos,carga_faixas,mpc_qp_v5,slack_event,10,"{""w_mpc_slack_event"": 10000000000.0}",0.0019465909995233233,0,1,5.407197268817475e-07,0,0,0,0,0,58.79903235201566,57.38471389900957,60,19.866390311315755,358.07925817346904,0,0,0.019866390311315756,400,0,59.627218130475335,0.014626904774630134,489,0,0,2.2737367544323206e-13,3332832.006730473,4015243775612013.0,0.0192903,0.0217276,0.02856475,0.03252195,0.0410276,0.0136255,0.017461749999999998,0.0236667,0.02707685,0.0360641,0.0040458,0.0041090499999999995,0.0050761,0.0055501000000000005,0.0140417,0,05_resultados\revisao_operacional\campanha_v1\j00180.mat,campanha_v1
j00181,pesos,perda_fonte,mpc_qp_v5,slack_source,0.1,"{""w_mpc_slack_source"": 10000000}",350.12304707522844,350.12304707522844,1,14.583420200969831,14.58342020096983,150,150,150,150,57.23951893131434,55.84574623626825,60,27.068351141126623,1638.615297740223,0,2.3333333333333335,0.02706835114112662,500,150,59.48673508082476,0.01457074279176851,733,0,0,0.0012225776267769106,333283.200808402,4015243775612013.0,0.0214211,0.02432155,0.0300679,0.03924305,0.0918545,0.0151037,0.0201106,0.02570695,0.03497825,0.0871715,0.0043328,0.0039019500000000004,0.00468575,0.00504995,0.0054116,0,05_resultados\revisao_operacional\campanha_v1\j00181.mat,campanha_v1
j00182,pesos,carga_faixas,mpc_qp_v5,slack_source,0.1,"{""w_mpc_slack_source"": 10000000}",0.019514252555552503,0,1,5.420625714972757e-06,0,0,0,0,0,58.80332896473015,57.389422669700224,60,19.841854398029508,358.5022985917295,0,0,0.019841854398029508,400,0,59.62722873313327,0.014627086675901069,489,0,0,7.958078640513122e-13,333283.200808402,4015243775612013.0,0.0206506,0.0214141,0.03222235,0.03859095,0.044864,0.0138997,0.01716575,0.027359599999999998,0.0332482,0.0393941,0.0045767,0.00404655,0.00494055,0.0054462,0.0129132,0,05_resultados\revisao_operacional\campanha_v1\j00182.mat,campanha_v1
j00183,pesos,perda_fonte,mpc_qp_v5,slack_source,1,"{""w_mpc_slack_source"": 100000000}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,57.09765980475696,55.703914844740474,60,27.741904277043087,1655.8768161818073,0,1.5833333333333335,0.027741904277043088,500,150,59.3449119390287,0.014570765323362878,733,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0208069,0.0247747,0.029935299999999998,0.03760315,0.0428699,0.0151501,0.02058555,0.0253509,0.03294105,0.0386739,0.0039897,0.0038968,0.0046224,0.0050152,0.0054595,0,05_resultados\revisao_operacional\campanha_v1\j00183.mat,campanha_v1
j00184,pesos,carga_faixas,mpc_qp_v5,slack_source,1,"{""w_mpc_slack_source"": 100000000}",0.018079005862091435,0,1,5.021946077643592e-06,0,0,0,0,0,58.800152435350384,57.38583268897276,60,19.86108286620929,358.02293969361654,0,0,0.01986108286620929,400,0,59.62722863278806,0.014627091341246512,489,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0193501,0.0221015,0.02999835,0.03453075,0.0433089,0.0138063,0.0176154,0.0250913,0.02949105,0.0375365,0.0036173,0.00410815,0.0049467,0.0054046,0.0152931,0,05_resultados\revisao_operacional\campanha_v1\j00184.mat,campanha_v1
j00185,pesos,perda_fonte,mpc_qp_v5,slack_source,10,"{""w_mpc_slack_source"": 1000000000}",350.065656105528,350.065656105528,1,14.583379684635569,14.583379684635567,150,150,150,150,57.133554927019816,55.7399337833498,60,27.57016265366684,1929.5625966577227,0,1.3333333333333335,0.02757016265366684,500,150,59.38093101298452,0.01457135319981262,733,0,0,0.0009481387183427614,333283.200808402,4015243775612013.0,0.0203787,0.0243202,0.03135465,0.0387071,0.0453275,0.0146572,0.020108300000000003,0.02679,0.03435225,0.0412609,0.0041409,0.0039369,0.0047764999999999995,0.00509375,0.0079681,0,05_resultados\revisao_operacional\campanha_v1\j00185.mat,campanha_v1
j00186,pesos,carga_faixas,mpc_qp_v5,slack_source,10,"{""w_mpc_slack_source"": 1000000000}",0.013595917132363411,0,1,3.7766436526157454e-06,0,0,0,0,0,58.8068729391157,57.38933485725395,60,19.861386174684036,358.33328894664976,0,0,0.019861386174684036,400,0,59.627245899325665,0.014627609121809826,489,0,0,3.296918293926865e-12,333283.200808402,4015243775612013.0,0.0190964,0.02226955,0.03122085,0.031751600000000005,0.0336666,0.0132343,0.0180272,0.026473700000000003,0.0269095,0.0281611,0.0041977,0.003956,0.0047382,0.00503295,0.0055292,0,05_resultados\revisao_operacional\campanha_v1\j00186.mat,campanha_v1
j00187,pesos,perda_fonte,mpc_qp_v5,slack_recharge,0.1,"{""w_mpc_slack_recharge"": 100000}",350.0673643906158,350.0673643906158,1,14.583380890632919,14.583380890632919,150,150,150,150,56.81578069842566,55.51587835689842,60,28.141169075928662,1655.8470858445667,0,1.5833333333333335,0.028141169075928663,500,150,59.3449119390287,0.009597290579229423,963,0,0,0.003397654078071355,333283.200808402,4015243775612013.0,0.0212148,0.020613199999999998,0.0298439,0.0376368,0.0436326,0.0152994,0.016232450000000002,0.025321450000000002,0.0330819,0.0390412,0.0042809,0.0039238499999999996,0.004623,0.0048458,0.017796,0,05_resultados\revisao_operacional\campanha_v1\j00187.mat,campanha_v1
j00188,pesos,carga_faixas,mpc_qp_v5,slack_recharge,0.1,"{""w_mpc_slack_recharge"": 100000}",0.018079005862091435,0,1,5.021946077561805e-06,0,0,0,0,0,58.67587972726419,57.33424407218995,60,19.723580946962084,357.71667199098613,0,0,0.019723580946962083,400,0,59.62722863278806,0.009330251558324676,918,0,0,5.684341886080801e-13,333283.200808402,4015243775612013.0,0.0194284,0.0206591,0.0291392,0.0305587,0.0340998,0.0139235,0.01638655,0.02448295,0.026130800000000003,0.0290749,0.0035987,0.003971199999999999,0.00476305,0.0050738,0.0053052,0,05_resultados\revisao_operacional\campanha_v1\j00188.mat,campanha_v1
