cenario,k,SOC,PBESS,uref,Pload,Pmax,grid,u_heur,u_fs,SOC_next,Pnao
carga_faixas,0,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,1,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,2,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,3,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,4,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,5,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,6,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,7,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,8,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,9,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,10,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,11,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,12,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,13,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,14,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,15,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,16,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,17,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,18,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,19,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,20,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,21,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,22,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,23,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,24,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,25,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,26,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,27,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,28,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,29,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,30,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,31,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,32,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,33,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,34,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,35,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,36,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,37,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,38,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,39,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,40,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,41,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,42,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,43,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,44,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,45,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,46,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
carga_faixas,47,60.0000000000,0.0000000000,0.0000000000,600.0000000000,800.0000000000,1,0.0000000000,nan,60.0000000000,0.0000000000
